day,date,sport,time,edző,klub
Kedd,2025-09-30,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Szerda,2025-10-01,Stretching,06:30-07:30,Dán Vanda,allee
Csütörtök,2025-10-02,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Kedd,2025-09-30,Pilates.,07:00-08:00,Oli Renáta,allee
Csütörtök,2025-10-02,Pilates.,07:00-08:00,Oli Renáta,allee
Szombat,2025-10-04,Alakformáló,09:00-10:00,Dobos Fanny,allee
Szombat,2025-10-04,Funkcionális köredzés,09:00-10:00,Serrano Gergő HU/EN,allee
Hétfő,2025-09-29,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Szerda,2025-10-01,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Csütörtök,2025-10-02,Gerinctorna+stretching,10:00-11:00,Kovács Laura,allee
Péntek,2025-10-03,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Szombat,2025-10-04,Cross Training,10:00-11:00,Serrano Gergő HU/EN,allee
Szombat,2025-10-04,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Vasárnap,2025-10-05,Alakformáló,10:00-11:00,Dobos Fanny,allee
Vasárnap,2025-10-05,Pilates.,10:00-11:00,Kárpáti Ildikó HU/EN,allee
Hétfő,2025-09-29,Senior torna,11:00-12:00,Béres Réka,allee
Kedd,2025-09-30,Stretching.,11:00-12:00,Kovács Laura,allee
Szerda,2025-10-01,Gerinctorna,11:00-12:00,Dobos Fanny,allee
Csütörtök,2025-10-02,Senior torna,11:00-12:00,Béres Réka,allee
Péntek,2025-10-03,Gerinctorna.,11:00-12:00,Kovács Laura,allee
Szombat,2025-10-04,Stretching.,11:00-12:00,Dobos Fanny,allee
Vasárnap,2025-10-05,Funkcionális köredzés,11:00-12:00,Jónás Gergely,allee
Vasárnap,2025-10-05,KORCE mobility+stability,11:00-12:00,Dobos Fanny,allee
Hétfő,2025-09-29,Alakformáló,12:00-13:00,Béres Réka,allee
Kedd,2025-09-30,Alakformáló,12:00-13:00,Kovács Laura,allee
Szerda,2025-10-01,Alakformáló,12:00-13:00,Dobos Fanny,allee
Csütörtök,2025-10-02,Alakformáló,12:00-13:00,Béres Réka,allee
Péntek,2025-10-03,Alakformáló,12:00-13:00,Kovács Laura,allee
Kedd,2025-09-30,Alakformáló,16:00-17:00,Dobos Fanny,allee
