day,date,sport,time,edző,klub
Hétfő,2025-08-04,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Szerda,2025-08-06,Funkcionális köredzés,06:30-07:30,Palkó Roberta HU/EN,allee
Péntek,2025-08-08,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Kedd,2025-08-05,Pilates.,07:00-08:00,Oli Renáta,allee
Csütörtök,2025-08-07,Pilates.,07:00-08:00,Oli Renáta,allee
Szombat,2025-08-09,Alakformáló,09:00-10:00,Dobos Fanny,allee
Szombat,2025-08-09,Funkcionális köredzés,09:00-10:00,Serrano Gergő HU/EN,allee
Hétfő,2025-08-04,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Szerda,2025-08-06,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Péntek,2025-08-08,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Szombat,2025-08-09,Cross Training,10:00-11:00,Serrano Gergő HU/EN,allee
Szombat,2025-08-09,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Vasárnap,2025-08-10,Alakformáló,10:00-11:00,Dobos Fanny,allee
Vasárnap,2025-08-10,Cross Training,10:00-11:00,Jónás Gergely,allee
Vasárnap,2025-08-10,Pilates.,10:00-11:00,Kárpáti Ildikó HU/EN,allee
Hétfő,2025-08-04,Senior torna,11:00-12:00,Gyurkovics Anikó HU/EN,allee
Kedd,2025-08-05,Stretching.,11:00-12:00,Kovács Laura,allee
Szerda,2025-08-06,Gerinctorna,11:00-12:00,Dobos Fanny,allee
Szombat,2025-08-09,Stretching.,11:00-12:00,Dobos Fanny,allee
Vasárnap,2025-08-10,Funkcionális köredzés,11:00-12:00,Jónás Gergely,allee
Vasárnap,2025-08-10,Gerinctorna,11:00-12:00,Dobos Fanny,allee
Hétfő,2025-08-04,Alakformáló,12:00-13:00,Kovács Laura,allee
Kedd,2025-08-05,Alakformáló,12:00-13:00,Kovács Laura,allee
Szerda,2025-08-06,Alakformáló,12:00-13:00,Dobos Fanny,allee
Csütörtök,2025-08-07,Alakformáló,12:00-13:00,Gyurkovics Anikó HU/EN,allee
Kedd,2025-08-05,Alakformáló,16:00-17:00,Dobos Fanny,allee
Csütörtök,2025-08-07,Alakformáló,16:00-17:00,Dobos Fanny,allee
Hétfő,2025-08-04,Alakformáló,17:00-18:00,Szalma Borka,allee
Hétfő,2025-08-04,Cross Training,17:00-18:00,Kalamár Eszter,allee
Hétfő,2025-08-04,Gerinctorna+stretching.,17:30-18:30,Heiszer Eszter,allee
Kedd,2025-08-05,Hot Iron I,17:00-18:00,Dobos Fanny,allee
Kedd,2025-08-05,Cross Training,17:15-18:15,Kovács Anikó HU/EN,allee
Kedd,2025-08-05,Pilates.,17:30-18:30,Oli Renáta,allee
Szerda,2025-08-06,Alakformáló,17:00-18:00,Kalamár Eszter,allee
Szerda,2025-08-06,Funkcionális köredzés,17:15-18:15,Gerő Luca,allee
Szerda,2025-08-06,Gerinctorna+stretching.,17:30-18:30,Heiszer Eszter,allee
Csütörtök,2025-08-07,Hot Iron I,17:00-18:00,Dobos Fanny,allee
Csütörtök,2025-08-07,Cross Training,17:15-18:15,Kovács Anikó HU/EN,allee
Csütörtök,2025-08-07,Pilates.,17:30-18:30,Oli Renáta,allee
Péntek,2025-08-08,Alakformáló,17:00-18:00,Dobos Fanny,allee
Péntek,2025-08-08,Zumba,17:30-18:30,Jámbor Bea,allee
Szombat,2025-08-09,Pilates.,17:30-18:30,Kárpáti Ildikó HU/EN,allee
Vasárnap,2025-08-10,Hot Iron I,17:00-18:00,Dobos Fanny,allee
Hétfő,2025-08-04,Cardio Kick-box,18:00-19:00,Kalamár Eszter,allee
Hétfő,2025-08-04,DEEPWORK ,18:15-19:15,Reitter Zsófia,allee
Hétfő,2025-08-04,Yin  jóga,18:30-19:30,Kovács Rózsa ,allee
Kedd,2025-08-05,Alakformáló,18:00-19:00,Dobos Fanny,allee
Kedd,2025-08-05,TRX köredzés,18:15-19:15,Kovács Anikó HU/EN,allee
Kedd,2025-08-05,Gerinctorna.,18:30-19:30,Böröcz Anita,allee
Szerda,2025-08-06,Cardio Kick-box,18:00-19:00,Kalamár Eszter,allee
Szerda,2025-08-06,TRX,18:15-19:15,Jónás Gergely,allee
Szerda,2025-08-06,Pilates.,18:30-19:30,Gerő Luca,allee
Csütörtök,2025-08-07,Alakformáló,18:00-19:00,Dobos Fanny,allee
Csütörtök,2025-08-07,TRX köredzés,18:15-19:15,Kovács Anikó HU/EN,allee
Csütörtök,2025-08-07,Gerinctorna.,18:30-19:30,Tordai Luca,allee
Péntek,2025-08-08,Funkcionális köredzés,18:00-19:00,Vujicsity Viktória,allee
Péntek,2025-08-08,Hot Iron I,18:00-19:00,Dobos Fanny,allee
Vasárnap,2025-08-10,Alakformáló,18:00-19:00,Dobos Fanny,allee
Hétfő,2025-08-04,Zsírégető,19:00-20:00,Kalamár Eszter,allee
Hétfő,2025-08-04,Funkcionális köredzés,19:15-20:15,Vujicsity Viktória,allee
Hétfő,2025-08-04,Pilates.,19:30-20:30,Kovács Rózsa ,allee
Kedd,2025-08-05,Zsírégető,19:00-20:00,Paulovics Adrienn,allee
Kedd,2025-08-05,Funkcionális köredzés,19:15-20:15,Vujicsity Viktória,allee
Kedd,2025-08-05,Stretching,19:30-20:30,Dobos Fanny,allee
Szerda,2025-08-06,Zsírégető,19:00-20:00,Kalamár Eszter,allee
Szerda,2025-08-06,Cross Training,19:15-20:15,Szentgyörgyi Lilien,allee
Csütörtök,2025-08-07,Zsírégető,19:00-20:00,Paulovics Adrienn,allee
Csütörtök,2025-08-07,Funkcionális köredzés,19:15-20:15,Kárpáti Ildikó HU/EN,allee
Csütörtök,2025-08-07,Dinamikus jóga,19:30-20:30,Erdős Réka ,allee
Péntek,2025-08-08,DEEPWORK ,19:00-20:00,Reitter Zsófia,allee
Péntek,2025-08-08,Stretching.,19:00-20:00,Dobos Fanny,allee
Hétfő,2025-08-04,Hot Iron I,20:00-21:00,Dobos Fanny,allee
Kedd,2025-08-05,Gerinctorna,20:00-21:00,Paulovics Adrienn,allee
Szerda,2025-08-06,Hot Iron I,20:00-21:00,Dobos Fanny,allee
Csütörtök,2025-08-07,Gerinctorna+stretching,20:00-21:00,Paulovics Adrienn,allee
Hétfő,2025-08-11,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Szerda,2025-08-13,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Péntek,2025-08-15,Funkcionális köredzés,06:30-07:30,Tordai Luca,allee
Kedd,2025-08-12,Pilates.,07:00-08:00,Oli Renáta,allee
Csütörtök,2025-08-14,Pilates.,07:00-08:00,Kárpáti Ildikó HU/EN,allee
Szombat,2025-08-16,Alakformáló,09:00-10:00,Dobos Fanny,allee
Szombat,2025-08-16,Funkcionális köredzés,09:00-10:00,Serrano Gergő HU/EN,allee
Hétfő,2025-08-11,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Szerda,2025-08-13,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Péntek,2025-08-15,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Szombat,2025-08-16,Cross Training,10:00-11:00,Serrano Gergő HU/EN,allee
Szombat,2025-08-16,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Vasárnap,2025-08-17,Alakformáló,10:00-11:00,Dobos Fanny,allee
Vasárnap,2025-08-17,Cross Training,10:00-11:00,Jónás Gergely,allee
Vasárnap,2025-08-17,Pilates.,10:00-11:00,Reitter Zsófia,allee
Kedd,2025-08-12,Stretching.,11:00-12:00,Kovács Laura,allee
Szerda,2025-08-13,Gerinctorna,11:00-12:00,Dobos Fanny,allee
Csütörtök,2025-08-14,Stretching.,11:00-12:00,Kovács Laura,allee
Péntek,2025-08-15,Gerinctorna.,11:00-12:00,Kovács Laura,allee
Szombat,2025-08-16,Stretching.,11:00-12:00,Dobos Fanny,allee
Vasárnap,2025-08-17,Funkcionális köredzés,11:00-12:00,Jónás Gergely,allee
Vasárnap,2025-08-17,Gerinctorna,11:00-12:00,Dobos Fanny,allee
Hétfő,2025-08-11,Alakformáló,12:00-13:00,Kovács Laura,allee
Kedd,2025-08-12,Alakformáló,12:00-13:00,Kovács Laura,allee
Szerda,2025-08-13,Alakformáló,12:00-13:00,Dobos Fanny,allee
Csütörtök,2025-08-14,Alakformáló,12:00-13:00,Kovács Laura,allee
Péntek,2025-08-15,Alakformáló,12:00-13:00,Kovács Laura,allee
Kedd,2025-08-12,Alakformáló,16:00-17:00,Dobos Fanny,allee
Csütörtök,2025-08-14,Alakformáló,16:00-17:00,Dobos Fanny,allee
Hétfő,2025-08-11,Alakformáló,17:00-18:00,Szalma Borka,allee
Hétfő,2025-08-11,Cross Training,17:00-18:00,Kalamár Eszter,allee
Hétfő,2025-08-11,Gerinctorna+stretching.,17:30-18:30,Heiszer Eszter,allee
Kedd,2025-08-12,Hot Iron I,17:00-18:00,Dobos Fanny,allee
Kedd,2025-08-12,Cross Training,17:15-18:15,Kovács Anikó HU/EN,allee
Kedd,2025-08-12,Pilates.,17:30-18:30,Oli Renáta,allee
Szerda,2025-08-13,Alakformáló,17:00-18:00,Kalamár Eszter,allee
Szerda,2025-08-13,Funkcionális köredzés,17:15-18:15,Gerő Luca,allee
Szerda,2025-08-13,Gerinctorna+stretching.,17:30-18:30,Heiszer Eszter,allee
Csütörtök,2025-08-14,Hot Iron I,17:00-18:00,Dobos Fanny,allee
Csütörtök,2025-08-14,Cross Training,17:15-18:15,Kovács Anikó HU/EN,allee
Csütörtök,2025-08-14,Pilates.,17:30-18:30,Oli Renáta,allee
Péntek,2025-08-15,Alakformáló,17:00-18:00,Dobos Fanny,allee
Péntek,2025-08-15,Zumba,17:30-18:30,Jámbor Bea,allee
Szombat,2025-08-16,Pilates.,17:30-18:30,Reitter Zsófia,allee
Vasárnap,2025-08-17,Hot Iron I,17:00-18:00,Dobos Fanny,allee
Hétfő,2025-08-11,Cardio Kick-box,18:00-19:00,Kalamár Eszter,allee
Hétfő,2025-08-11,Yin  jóga,18:30-19:30,Kovács Rózsa ,allee
Kedd,2025-08-12,Alakformáló,18:00-19:00,Dobos Fanny,allee
