day,date,sport,time,edző,klub
Hétfő,2025-06-02,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Szerda,2025-06-04,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Péntek,2025-06-06,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Kedd,2025-06-03,Pilates.,07:00-08:00,Oli Renáta,allee
Csütörtök,2025-06-05,Pilates.,07:00-08:00,Oli Renáta,allee
Szombat,2025-06-07,Alakformáló,09:00-10:00,Dobos Fanny,allee
Szombat,2025-06-07,Funkcionális köredzés,09:00-10:00,Serrano Gergő HU/EN,allee
Hétfő,2025-06-02,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Szerda,2025-06-04,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Péntek,2025-06-06,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Szombat,2025-06-07,Cross Training,10:00-11:00,Serrano Gergő HU/EN,allee
Szombat,2025-06-07,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Vasárnap,2025-06-08,Alakformáló,10:00-11:00,Dobos Fanny,allee
Vasárnap,2025-06-08,Cross Training,10:00-11:00,Jónás Gergely,allee
Vasárnap,2025-06-08,Pilates.,10:00-11:00,Reitter Zsófia,allee
Hétfő,2025-06-02,Senior torna,11:00-12:00,Béres Réka,allee
Kedd,2025-06-03,Stretching.,11:00-12:00,Kovács Laura,allee
Szerda,2025-06-04,Gerinctorna,11:00-12:00,Dobos Fanny,allee
Csütörtök,2025-06-05,Senior torna,11:00-12:00,Béres Réka,allee
Csütörtök,2025-06-05,Stretching.,11:00-12:00,Kovács Laura,allee
Péntek,2025-06-06,Gerinctorna.,11:00-12:00,Auer Bernadett,allee
Szombat,2025-06-07,Stretching.,11:00-12:00,Dobos Fanny,allee
Vasárnap,2025-06-08,Funkcionális köredzés,11:00-12:00,Jónás Gergely,allee
Vasárnap,2025-06-08,Gerinctorna,11:00-12:00,Dobos Fanny,allee
Hétfő,2025-06-02,Alakformáló,12:00-13:00,Béres Réka,allee
Kedd,2025-06-03,Alakformáló,12:00-13:00,Kovács Laura,allee
Szerda,2025-06-04,Alakformáló,12:00-13:00,Dobos Fanny,allee
Csütörtök,2025-06-05,Alakformáló,12:00-13:00,Béres Réka,allee
Péntek,2025-06-06,Alakformáló,12:00-13:00,Auer Bernadett,allee
Kedd,2025-06-03,Alakformáló,16:00-17:00,Dobos Fanny,allee
