day,date,sport,time,edző,klub
Kedd,2026-01-06,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Szerda,2026-01-07,Stretching,06:30-07:30,Dán Vanda,allee
Csütörtök,2026-01-08,Funkcionális köredzés,06:30-07:30,Kárpáti Ildikó HU/EN,allee
Kedd,2026-01-06,Pilates.,07:00-08:00,Oli Renáta,allee
Csütörtök,2026-01-08,Pilates.,07:00-08:00,Oli Renáta,allee
Szombat,2026-01-10,Alakformáló,09:00-10:00,Dobos Fanny HU/EN,allee
Szombat,2026-01-10,Funkcionális köredzés,09:00-10:00,Serrano Gergő HU/EN,allee
Hétfő,2026-01-05,Hot Iron I,10:00-11:00,Dobos Fanny HU/EN,allee
Szerda,2026-01-07,Hot Iron I,10:00-11:00,Dobos Fanny HU/EN,allee
Csütörtök,2026-01-08,Gerinctorna+stretching,10:00-11:00,Kovács Laura,allee
Péntek,2026-01-09,Hot Iron I,10:00-11:00,Dobos Fanny HU/EN,allee
Szombat,2026-01-10,Cross Training,10:00-11:00,Serrano Gergő HU/EN,allee
Szombat,2026-01-10,Hot Iron I,10:00-11:00,Dobos Fanny HU/EN,allee
Vasárnap,2026-01-11,Alakformáló,10:00-11:00,Dobos Fanny HU/EN,allee
Vasárnap,2026-01-11,Pilates.,10:00-11:00,Reitter Zsófia,allee
Hétfő,2026-01-05,Senior torna,11:00-12:00,Béres Réka,allee
Kedd,2026-01-06,Stretching.,11:00-12:00,Kovács Laura,allee
Szerda,2026-01-07,Gerinctorna,11:00-12:00,Dobos Fanny HU/EN,allee
Csütörtök,2026-01-08,Senior torna,11:00-12:00,Béres Réka,allee
Péntek,2026-01-09,Gerinctorna.,11:00-12:00,Kovács Laura,allee
Szombat,2026-01-10,Stretching.,11:00-12:00,Dobos Fanny HU/EN,allee
Vasárnap,2026-01-11,Funkcionális köredzés,11:00-12:00,Jónás Gergely,allee
Vasárnap,2026-01-11,KORCE mobility+stability,11:00-12:00,Dobos Fanny HU/EN,allee
Hétfő,2026-01-05,Alakformáló,12:00-13:00,Béres Réka,allee
Kedd,2026-01-06,Alakformáló,12:00-13:00,Kovács Laura,allee
Szerda,2026-01-07,Alakformáló,12:00-13:00,Dobos Fanny HU/EN,allee
Csütörtök,2026-01-08,Alakformáló,12:00-13:00,Béres Réka,allee
Péntek,2026-01-09,Alakformáló,12:00-13:00,Kovács Laura,allee
Kedd,2026-01-06,Alakformáló,16:00-17:00,Dobos Fanny HU/EN,allee
Kedd,2026-01-06,Zumba,16:30-17:30,Oli Renáta,allee
Csütörtök,2026-01-08,Alakformáló,16:00-17:00,Dobos Fanny HU/EN,allee
Csütörtök,2026-01-08,Zumba,16:30-17:30,Oli Renáta,allee
Vasárnap,2026-01-11,Funkcionális köredzés,16:30-17:30,Virág Vera,allee
Hétfő,2026-01-05,Alakformáló,17:00-18:00,Nagy Vivien,allee
Hétfő,2026-01-05,Cross Training,17:00-18:00,Kalamár Eszter,allee
Hétfő,2026-01-05,Gerinctorna+stretching.,17:30-18:30,Paulovics Adrienn,allee
Kedd,2026-01-06,Hot Iron I,17:00-18:00,Dobos Fanny HU/EN,allee
Kedd,2026-01-06,Cross Training,17:15-18:15,Virág Vera,allee
Kedd,2026-01-06,Pilates.,17:30-18:30,Oli Renáta,allee
Szerda,2026-01-07,Alakformáló,17:00-18:00,Kalamár Eszter,allee
Szerda,2026-01-07,Funkcionális köredzés,17:15-18:15,Gerő Luca,allee
Szerda,2026-01-07,Gerinctorna+stretching.,17:30-18:30,Paulovics Adrienn,allee
