day,date,sport,time,edző,klub
Hétfő,2024-10-28,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Szerda,2024-10-30,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Hétfő,2024-10-28,Alakformáló,07:00-08:00,Szalma Borka,allee
Hétfő,2024-10-28,Pilates&stretching,07:00-08:00,Némethy Panna ,allee
Kedd,2024-10-29,Alakformáló,07:00-08:00,Némethy Panna ,allee
Kedd,2024-10-29,Pilates,07:00-08:00,Bokor Laura,allee
Kedd,2024-10-29,TRX köredzés,07:00-08:00,Sánta Stella,allee
Szerda,2024-10-30,Alakformáló,07:00-08:00,Szalma Borka,allee
Szerda,2024-10-30,Pilates&stretching,07:00-08:00,Némethy Panna ,allee
Csütörtök,2024-10-31,Pilates,07:00-08:00,Oli Renáta,allee
Hétfő,2024-10-28,Zsírégető,08:00-09:00,Némethy Panna ,allee
Szerda,2024-10-30,Zsírégető,08:00-09:00,Némethy Panna ,allee
Szombat,2024-11-02,Alakformáló,09:00-10:00,Dobos Fanny,allee
Szombat,2024-11-02,Funkcionális köredzés,09:00-10:00,Serrano Gergő,allee
Vasárnap,2024-11-03,Gerinctorna+stretching,09:00-10:00,Reitter Zsófia,allee
Hétfő,2024-10-28,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Szerda,2024-10-30,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Péntek,2024-11-01,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Szombat,2024-11-02,Cross Training,10:00-11:00,Serrano Gergő,allee
Szombat,2024-11-02,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Vasárnap,2024-11-03,Alakformáló,10:00-11:00,Dobos Fanny,allee
Vasárnap,2024-11-03,Cross Training,10:00-11:00,Jónás Gergely,allee
Vasárnap,2024-11-03,Pilates,10:00-11:00,Reitter Zsófia,allee
Kedd,2024-10-29,Stretching.,11:00-12:00,Kovács Laura,allee
Szerda,2024-10-30,gerinctorna,11:00-12:00,Dobos Fanny,allee
Csütörtök,2024-10-31,Senior torna,11:00-12:00,Béres Réka,allee
Csütörtök,2024-10-31,Stretching.,11:00-12:00,Kovács Laura,allee
Péntek,2024-11-01,Gerinctorna,11:00-12:00,Kovács Laura,allee
Szombat,2024-11-02,Stretching.,11:00-12:00,Dobos Fanny,allee
Vasárnap,2024-11-03,Funkcionális köredzés,11:00-12:00,Jónás Gergely,allee
Vasárnap,2024-11-03,Gerinctorna,11:00-12:00,Dobos Fanny,allee
Kedd,2024-10-29,Alakformáló,12:00-13:00,Kovács Laura,allee
Szerda,2024-10-30,Alakformáló,12:00-13:00,Dobos Fanny,allee
Csütörtök,2024-10-31,Alakformáló,12:00-13:00,Béres Réka,allee
Péntek,2024-11-01,Alakformáló,12:00-13:00,Kovács Laura,allee
Kedd,2024-10-29,Alakformáló,16:00-17:00,Dobos Fanny,allee
Kedd,2024-10-29,Zumba,16:30-17:30,Oli Renáta,allee
