day,date,sport,time,edző,klub
Szerda,2025-11-05,Stretching,06:30-07:30,Dán Vanda,allee
Csütörtök,2025-11-06,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Hétfő,2025-11-03,Alakformáló,07:30-08:30,Virág Vera,allee
Kedd,2025-11-04,Pilates.,07:00-08:00,Oli Renáta,allee
Szerda,2025-11-05,Alakformáló,07:30-08:30,Virág Vera,allee
Csütörtök,2025-11-06,Pilates.,07:00-08:00,Oli Renáta,allee
Szombat,2025-11-08,Alakformáló,09:00-10:00,Dobos Fanny,allee
Szombat,2025-11-08,Funkcionális köredzés,09:00-10:00,Serrano Gergő HU/EN,allee
Hétfő,2025-11-03,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Szerda,2025-11-05,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Csütörtök,2025-11-06,Gerinctorna+stretching,10:00-11:00,Kovács Laura,allee
Szombat,2025-11-08,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Vasárnap,2025-11-09,Alakformáló,10:00-11:00,Dobos Fanny,allee
Vasárnap,2025-11-09,Pilates.,10:00-11:00,Reitter Zsófia,allee
Hétfő,2025-11-03,Senior torna,11:00-12:00,Béres Réka,allee
Kedd,2025-11-04,Stretching.,11:00-12:00,Kovács Laura,allee
Szerda,2025-11-05,Gerinctorna,11:00-12:00,Dobos Fanny,allee
Csütörtök,2025-11-06,Senior torna,11:00-12:00,Béres Réka,allee
Péntek,2025-11-07,Gerinctorna.,11:00-12:00,Kovács Laura,allee
Szombat,2025-11-08,Stretching.,11:00-12:00,Dobos Fanny,allee
Vasárnap,2025-11-09,Funkcionális köredzés,11:00-12:00,Jónás Gergely,allee
Vasárnap,2025-11-09,KORCE mobility+stability,11:00-12:00,Dobos Fanny,allee
Hétfő,2025-11-03,Alakformáló,12:00-13:00,Béres Réka,allee
Kedd,2025-11-04,Alakformáló,12:00-13:00,Kovács Laura,allee
Szerda,2025-11-05,Alakformáló,12:00-13:00,Dobos Fanny,allee
Csütörtök,2025-11-06,Alakformáló,12:00-13:00,Béres Réka,allee
Péntek,2025-11-07,Alakformáló,12:00-13:00,Kovács Laura,allee
Kedd,2025-11-04,Alakformáló,16:00-17:00,Dobos Fanny,allee
Kedd,2025-11-04,Zumba,16:30-17:30,Oli Renáta,allee
Csütörtök,2025-11-06,Alakformáló,16:00-17:00,Dobos Fanny,allee
Csütörtök,2025-11-06,Zumba,16:30-17:30,Oli Renáta,allee
Vasárnap,2025-11-09,Funkcionális köredzés,16:30-17:30,Virág Vera,allee
Hétfő,2025-11-03,Alakformáló,17:00-18:00,Szalma Borka,allee
Hétfő,2025-11-03,Cross Training,17:00-18:00,Kalamár Eszter,allee
Hétfő,2025-11-03,Gerinctorna+stretching.,17:30-18:30,Heiszer Eszter,allee
Kedd,2025-11-04,Hot Iron I,17:00-18:00,Dobos Fanny,allee
Kedd,2025-11-04,Cross Training,17:15-18:15,Virág Vera,allee
Kedd,2025-11-04,Pilates.,17:30-18:30,Oli Renáta,allee
Szerda,2025-11-05,Alakformáló,17:00-18:00,Kalamár Eszter,allee
Szerda,2025-11-05,Funkcionális köredzés,17:15-18:15,Gerő Luca,allee
Szerda,2025-11-05,Gerinctorna+stretching.,17:30-18:30,Heiszer Eszter,allee
Csütörtök,2025-11-06,Hot Iron I,17:00-18:00,Dobos Fanny,allee
Csütörtök,2025-11-06,Cross Training,17:15-18:15,Virág Vera,allee
Csütörtök,2025-11-06,Pilates.,17:30-18:30,Oli Renáta,allee
Péntek,2025-11-07,Alakformáló,17:00-18:00,Dobos Fanny,allee
Péntek,2025-11-07,Zumba,17:30-18:30,Jámbor Bea,allee
Szombat,2025-11-08,Pilates.,17:30-18:30,Reitter Zsófia,allee
Vasárnap,2025-11-09,Hot Iron I,17:00-18:00,Dobos Fanny,allee
Hétfő,2025-11-03,Cardio Kick-box,18:00-19:00,Kalamár Eszter,allee
Hétfő,2025-11-03,Yin  jóga,18:30-19:30,Kovács Rózsa ,allee
Kedd,2025-11-04,Alakformáló,18:00-19:00,Dobos Fanny,allee
Kedd,2025-11-04,Funkcionális köredzés,18:15-19:15,Vujicsity Viktória,allee
Kedd,2025-11-04,Gerinctorna.,18:30-19:30,Böröcz Anita,allee
Szerda,2025-11-05,Cardio Kick-box,18:00-19:00,Kalamár Eszter,allee
Szerda,2025-11-05,TRX,18:15-19:15,Jónás Gergely,allee
Szerda,2025-11-05,Pilates.,18:30-19:30,Gerő Luca,allee
Csütörtök,2025-11-06,Alakformáló,18:00-19:00,Dobos Fanny,allee
Csütörtök,2025-11-06,TRX köredzés,18:15-19:15,Sánta Stella HU/EN,allee
Péntek,2025-11-07,Funkcionális köredzés,18:00-19:00,Vujicsity Viktória,allee
Péntek,2025-11-07,Hot Iron I,18:00-19:00,Dobos Fanny,allee
Vasárnap,2025-11-09,Alakformáló,18:00-19:00,Dobos Fanny,allee
Hétfő,2025-11-03,Zsírégető,19:00-20:00,Kalamár Eszter,allee
Hétfő,2025-11-03,Funkcionális köredzés,19:15-20:15,Tordai Luca,allee
Hétfő,2025-11-03,Pilates.,19:30-20:30,Kovács Rózsa ,allee
Kedd,2025-11-04,Zsírégető,19:00-20:00,Paulovics Adrienn,allee
Kedd,2025-11-04,TRX köredzés,19:15-20:15,Vujicsity Viktória,allee
Kedd,2025-11-04,Dinamikus jóga,19:30-20:30,Erdős Réka ,allee
Szerda,2025-11-05,Zsírégető,19:00-20:00,Kalamár Eszter,allee
Szerda,2025-11-05,Cross Training,19:15-20:15,Szentgyörgyi Lilien,allee
Csütörtök,2025-11-06,Zsírégető,19:00-20:00,Paulovics Adrienn,allee
Csütörtök,2025-11-06,Funkcionális köredzés,19:15-20:15,Sánta Stella HU/EN,allee
Csütörtök,2025-11-06,Dinamikus jóga,19:30-20:30,Erdős Réka ,allee
Péntek,2025-11-07,Kezdő dance step,19:00-20:00,Erdélyi Annamari,allee
Péntek,2025-11-07,Stretching.,19:00-20:00,Dobos Fanny,allee
Péntek,2025-11-07,TRX köredzés,19:00-20:00,Vujicsity Viktória,allee
Hétfő,2025-11-03,Hot Iron I,20:00-21:00,Dobos Fanny,allee
Kedd,2025-11-04,Gerinctorna,20:00-21:00,Paulovics Adrienn,allee
Szerda,2025-11-05,Hot Iron I,20:00-21:00,Dobos Fanny,allee
Csütörtök,2025-11-06,Gerinctorna+stretching,20:00-21:00,Paulovics Adrienn,allee
Kedd,2025-11-11,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Szerda,2025-11-12,Stretching,06:30-07:30,Dán Vanda,allee
Csütörtök,2025-11-13,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Hétfő,2025-11-10,Alakformáló,07:00-08:00,Virág Vera,allee
Kedd,2025-11-11,Pilates.,07:00-08:00,Oli Renáta,allee
Szerda,2025-11-12,Alakformáló,07:00-08:00,Virág Vera,allee
Csütörtök,2025-11-13,Pilates.,07:00-08:00,Oli Renáta,allee
Szombat,2025-11-15,Alakformáló,09:00-10:00,Dobos Fanny,allee
Szombat,2025-11-15,Funkcionális köredzés,09:00-10:00,Serrano Gergő HU/EN,allee
Hétfő,2025-11-10,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Szerda,2025-11-12,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Csütörtök,2025-11-13,Gerinctorna+stretching,10:00-11:00,Kovács Laura,allee
Péntek,2025-11-14,Hot Iron I,10:00-11:00,Dobos Fanny,allee
