day,date,sport,time,edző,klub
Kedd,2025-02-25,Pilates,07:00-08:00,Kárpáti Ildikó,allee
Kedd,2025-02-25,Zsírégető,07:00-08:00,Hodosi Tamás,allee
Csütörtök,2025-02-27,Pilates,07:00-08:00,Kárpáti Ildikó,allee
Csütörtök,2025-02-27,Zsírégető,07:00-08:00,Borbély Beatrix,allee
Kedd,2025-02-25,Funkcionális köredzés,09:00-10:00,Adamkó Szilvi,allee
Csütörtök,2025-02-27,Funkcionális köredzés,09:00-10:00,Adamkó Szilvi,allee
Szombat,2025-03-01,Alakformáló,09:00-10:00,Gyurkovics Anikó,allee
Szombat,2025-03-01,Funkcionális köredzés,09:00-10:00,Serrano Gergő,allee
Vasárnap,2025-03-02,Gerinctorna+stretching,09:00-10:00,Reitter Zsófia,allee
Hétfő,2025-02-24,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Szombat,2025-03-01,Cross Training,10:00-11:00,Serrano Gergő,allee
Szombat,2025-03-01,Súlyzórudas edzés,10:00-11:00,Gyurkovics Anikó,allee
Vasárnap,2025-03-02,Alakformáló,10:00-11:00,Dobos Fanny,allee
Vasárnap,2025-03-02,Cross Training,10:00-11:00,Jónás Gergely,allee
Vasárnap,2025-03-02,Pilates,10:00-11:00,Reitter Zsófia,allee
Hétfő,2025-02-24,Senior torna,11:00-12:00,Béres Réka,allee
Kedd,2025-02-25,Stretching.,11:00-12:00,Kovács Laura,allee
Csütörtök,2025-02-27,Senior torna,11:00-12:00,Béres Réka,allee
Csütörtök,2025-02-27,Stretching.,11:00-12:00,Kovács Laura,allee
Péntek,2025-02-28,Gerinctorna,11:00-12:00,Kovács Laura,allee
Szombat,2025-03-01,Stretching.,11:00-12:00,Gyurkovics Anikó,allee
Vasárnap,2025-03-02,Funkcionális köredzés,11:00-12:00,Jónás Gergely,allee
Vasárnap,2025-03-02,Gerinctorna,11:00-12:00,Dobos Fanny,allee
Hétfő,2025-02-24,Alakformáló,12:00-13:00,Béres Réka,allee
Kedd,2025-02-25,Alakformáló,12:00-13:00,Kovács Laura,allee
Csütörtök,2025-02-27,Alakformáló,12:00-13:00,Béres Réka,allee
Péntek,2025-02-28,Alakformáló,12:00-13:00,Kovács Laura,allee
Kedd,2025-02-25,Alakformáló,16:00-17:00,Dobos Fanny,allee
Kedd,2025-02-25,Zumba,16:30-17:30,Oli Renáta,allee
Csütörtök,2025-02-27,Alakformáló,16:00-17:00,Gyurkovics Anikó,allee
Hétfő,2025-02-24,Alakformáló,17:00-18:00,Szalma Borka,allee
Hétfő,2025-02-24,Cross Training,17:00-18:00,Kalamár Eszter,allee
Hétfő,2025-02-24,Gerinctorna+stretching.,17:30-18:30,Heiszer Eszter,allee
Kedd,2025-02-25,Hot Iron I,17:00-18:00,Dobos Fanny,allee
Kedd,2025-02-25,Cross Training,17:15-18:15,Kovács Anikó,allee
Kedd,2025-02-25,Pilates.,17:30-18:30,Oli Renáta,allee
Szerda,2025-02-26,Alakformáló,17:00-18:00,Vincze Kata,allee
Szerda,2025-02-26,Funkcionális köredzés,17:15-18:15,Gerő Luca,allee
Szerda,2025-02-26,Gerinctorna+stretching.,17:30-18:30,Kovács Laura,allee
Csütörtök,2025-02-27,Hot Iron I,17:00-18:00,Szedeli Fanni ,allee
Csütörtök,2025-02-27,Cross Training,17:15-18:15,Kovács Anikó,allee
Csütörtök,2025-02-27,Pilates.,17:30-18:30,Oli Renáta,allee
Péntek,2025-02-28,Alakformáló,17:00-18:00,Kovács Laura,allee
Péntek,2025-02-28,Kezdő funkcionális köredzés ,17:00-18:00,Gerő Luca,allee
Péntek,2025-02-28,Zumba,17:30-18:30,Jámbor Bea,allee
Szombat,2025-03-01,Pilates,17:30-18:30,Reitter Zsófia,allee
Vasárnap,2025-03-02,Hot Iron I,17:00-18:00,Dobos Fanny,allee
Hétfő,2025-02-24,Cardio Kick-box,18:00-19:00,Kalamár Eszter,allee
Hétfő,2025-02-24,DEEPWORK ,18:15-19:15,Kocsomba Nelli ,allee
Hétfő,2025-02-24,Yin  jóga,18:30-19:30,Kovács Rózsa ,allee
Kedd,2025-02-25,Alakformáló,18:00-19:00,Dobos Fanny,allee
Kedd,2025-02-25,TRX köredzés,18:15-19:15,Kovács Anikó,allee
Kedd,2025-02-25,Gerinctorna,18:30-19:30,Vincze Kata,allee
Szerda,2025-02-26,Cardio Kick-box,18:00-19:00,Kalamár Eszter,allee
Szerda,2025-02-26,DEEPWORK ,18:15-19:15,Kocsomba Nelli ,allee
Szerda,2025-02-26,Pilates,18:30-19:30,Gerő Luca,allee
Csütörtök,2025-02-27,Alakformáló,18:00-19:00,Paulovics Adrienn,allee
Csütörtök,2025-02-27,TRX köredzés,18:15-19:15,Kovács Anikó,allee
Csütörtök,2025-02-27,Gerinctorna,18:30-19:30,Vincze Kata,allee
Péntek,2025-02-28,Funkcionális köredzés,18:00-19:00,Vujicsity Viktória,allee
Péntek,2025-02-28,Hot Iron I,18:00-19:00,Tücsi S. Márti,allee
Szombat,2025-03-01,Gerinctorna,18:30-19:30,Reitter Zsófia,allee
Vasárnap,2025-03-02,Alakformáló,18:00-19:00,Dobos Fanny,allee
Hétfő,2025-02-24,Zsírégető,19:00-20:00,Kalamár Eszter,allee
Hétfő,2025-02-24,Funkcionális köredzés,19:15-20:15,Vujicsity Viktória,allee
Hétfő,2025-02-24,Pilates.,19:30-20:30,Kovács Rózsa ,allee
Kedd,2025-02-25,Zsírégető,19:00-20:00,Paulovics Adrienn,allee
Kedd,2025-02-25,Funkcionális köredzés,19:15-20:15,Vujicsity Viktória,allee
Kedd,2025-02-25,Dinamikus jóga,19:30-20:30,Erdős Réka ,allee
Szerda,2025-02-26,Zsírégető,19:00-20:00,Kalamár Eszter,allee
Szerda,2025-02-26,Cross Training,19:15-20:15,Serrano Gergő,allee
Csütörtök,2025-02-27,Zsírégető,19:00-20:00,Paulovics Adrienn,allee
Csütörtök,2025-02-27,Funkcionális köredzés,19:15-20:15,Sánta Stella,allee
Csütörtök,2025-02-27,Gerinctorna+stretching,19:30-20:30,Kovács Laura,allee
Péntek,2025-02-28,Alakformáló,19:00-20:00,Szalma Borka,allee
Péntek,2025-02-28,Stretching,19:00-20:00,Kovács Laura,allee
Hétfő,2025-02-24,Hot Iron I,20:00-21:00,Dobos Fanny,allee
Kedd,2025-02-25,Gerinctorna,20:00-21:00,Paulovics Adrienn,allee
Csütörtök,2025-02-27,Gerinctorna+stretching,20:00-21:00,Paulovics Adrienn,allee
Kedd,2025-03-04,Pilates,07:00-08:00,Kárpáti Ildikó,allee
Kedd,2025-03-04,Zsírégető,07:00-08:00,Borbély Beatrix,allee
Csütörtök,2025-03-06,Pilates,07:00-08:00,Kárpáti Ildikó,allee
Csütörtök,2025-03-06,Zsírégető,07:00-08:00,Borbély Beatrix,allee
Kedd,2025-03-04,Funkcionális köredzés,09:00-10:00,Adamkó Szilvi,allee
Csütörtök,2025-03-06,Funkcionális köredzés,09:00-10:00,Kárpáti Ildikó,allee
Szombat,2025-03-08,Alakformáló,09:00-10:00,Dobos Fanny,allee
Szombat,2025-03-08,Funkcionális köredzés,09:00-10:00,Serrano Gergő,allee
Hétfő,2025-03-03,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Szerda,2025-03-05,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Péntek,2025-03-07,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Szombat,2025-03-08,Cross Training,10:00-11:00,Serrano Gergő,allee
Szombat,2025-03-08,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Vasárnap,2025-03-09,Alakformáló,10:00-11:00,Dobos Fanny,allee
Vasárnap,2025-03-09,Cross Training,10:00-11:00,Jónás Gergely,allee
Vasárnap,2025-03-09,Pilates,10:00-11:00,Reitter Zsófia,allee
Hétfő,2025-03-03,Senior torna,11:00-12:00,Béres Réka,allee
Kedd,2025-03-04,Stretching.,11:00-12:00,Kovács Laura,allee
Szerda,2025-03-05,gerinctorna,11:00-12:00,Dobos Fanny,allee
Csütörtök,2025-03-06,Senior torna,11:00-12:00,Béres Réka,allee
Csütörtök,2025-03-06,Stretching.,11:00-12:00,Kovács Laura,allee
Péntek,2025-03-07,Gerinctorna,11:00-12:00,Kovács Laura,allee
Szombat,2025-03-08,Stretching.,11:00-12:00,Dobos Fanny,allee
Vasárnap,2025-03-09,Funkcionális köredzés,11:00-12:00,Jónás Gergely,allee
Vasárnap,2025-03-09,Gerinctorna,11:00-12:00,Dobos Fanny,allee
Hétfő,2025-03-03,Alakformáló,12:00-13:00,Béres Réka,allee
Kedd,2025-03-04,Alakformáló,12:00-13:00,Kovács Laura,allee
Szerda,2025-03-05,Alakformáló,12:00-13:00,Dobos Fanny,allee
Csütörtök,2025-03-06,Alakformáló,12:00-13:00,Béres Réka,allee
Péntek,2025-03-07,Alakformáló,12:00-13:00,Kovács Laura,allee
Kedd,2025-03-04,Alakformáló,16:00-17:00,Dobos Fanny,allee
Kedd,2025-03-04,Zumba,16:30-17:30,Oli Renáta,allee
Csütörtök,2025-03-06,Alakformáló,16:00-17:00,Dobos Fanny,allee
Hétfő,2025-03-03,Alakformáló,17:00-18:00,Szalma Borka,allee
Hétfő,2025-03-03,Cross Training,17:00-18:00,Kalamár Eszter,allee
Hétfő,2025-03-03,Gerinctorna+stretching.,17:30-18:30,Heiszer Eszter,allee
Kedd,2025-03-04,Hot Iron I,17:00-18:00,Dobos Fanny,allee
Kedd,2025-03-04,Cross Training,17:15-18:15,Kovács Anikó,allee
Kedd,2025-03-04,Pilates.,17:30-18:30,Oli Renáta,allee
Szerda,2025-03-05,Alakformáló,17:00-18:00,Vincze Kata,allee
Szerda,2025-03-05,Funkcionális köredzés,17:15-18:15,Gerő Luca,allee
Szerda,2025-03-05,Gerinctorna+stretching.,17:30-18:30,Heiszer Eszter,allee
Csütörtök,2025-03-06,Hot Iron I,17:00-18:00,Dobos Fanny,allee
Csütörtök,2025-03-06,Cross Training,17:15-18:15,Kovács Anikó,allee
Csütörtök,2025-03-06,Pilates.,17:30-18:30,Oli Renáta,allee
Péntek,2025-03-07,Alakformáló,17:00-18:00,Dobos Fanny,allee
Péntek,2025-03-07,Kezdő funkcionális köredzés ,17:00-18:00,Gerő Luca,allee
Péntek,2025-03-07,Zumba,17:30-18:30,Jámbor Bea,allee
Szombat,2025-03-08,Pilates,17:30-18:30,Reitter Zsófia,allee
Vasárnap,2025-03-09,Hot Iron I,17:00-18:00,Dobos Fanny,allee
Hétfő,2025-03-03,Cardio Kick-box,18:00-19:00,Kalamár Eszter,allee
Hétfő,2025-03-03,DEEPWORK ,18:15-19:15,Kocsomba Nelli ,allee
Hétfő,2025-03-03,Yin  jóga,18:30-19:30,Kovács Rózsa ,allee
Kedd,2025-03-04,Alakformáló,18:00-19:00,Dobos Fanny,allee
Kedd,2025-03-04,TRX köredzés,18:15-19:15,Kovács Anikó,allee
Kedd,2025-03-04,Gerinctorna,18:30-19:30,Vincze Kata,allee
Szerda,2025-03-05,Cardio Kick-box,18:00-19:00,Kalamár Eszter,allee
Szerda,2025-03-05,DEEPWORK ,18:15-19:15,Kocsomba Nelli ,allee
Szerda,2025-03-05,Pilates,18:30-19:30,Gerő Luca,allee
Csütörtök,2025-03-06,Alakformáló,18:00-19:00,Dobos Fanny,allee
Csütörtök,2025-03-06,TRX köredzés,18:15-19:15,Kovács Anikó,allee
Csütörtök,2025-03-06,Gerinctorna,18:30-19:30,Vincze Kata,allee
Péntek,2025-03-07,Funkcionális köredzés,18:00-19:00,Vujicsity Viktória,allee
Péntek,2025-03-07,Hot Iron I,18:00-19:00,Dobos Fanny,allee
Szombat,2025-03-08,Gerinctorna,18:30-19:30,Reitter Zsófia,allee
Vasárnap,2025-03-09,Alakformáló,18:00-19:00,Dobos Fanny,allee
Hétfő,2025-03-03,Zsírégető,19:00-20:00,Kalamár Eszter,allee
Hétfő,2025-03-03,Funkcionális köredzés,19:15-20:15,Vujicsity Viktória,allee
Hétfő,2025-03-03,Pilates.,19:30-20:30,Kovács Rózsa ,allee
Kedd,2025-03-04,Zsírégető,19:00-20:00,Paulovics Adrienn,allee
Kedd,2025-03-04,Funkcionális köredzés,19:15-20:15,Vujicsity Viktória,allee
Kedd,2025-03-04,Dinamikus jóga,19:30-20:30,Erdős Réka ,allee
Szerda,2025-03-05,Zsírégető,19:00-20:00,Kalamár Eszter,allee
Szerda,2025-03-05,Cross Training,19:15-20:15,Szentgyörgyi Lilien,allee
Csütörtök,2025-03-06,Zsírégető,19:00-20:00,Paulovics Adrienn,allee
Csütörtök,2025-03-06,Funkcionális köredzés,19:15-20:15,Sánta Stella,allee
Csütörtök,2025-03-06,Dinamikus jóga,19:30-20:30,Erdős Réka ,allee
Péntek,2025-03-07,Alakformáló,19:00-20:00,Szalma Borka,allee
Péntek,2025-03-07,Stretching,19:00-20:00,Dobos Fanny,allee
Hétfő,2025-03-03,Hot Iron I,20:00-21:00,Dobos Fanny,allee
Kedd,2025-03-04,Gerinctorna,20:00-21:00,Paulovics Adrienn,allee
Szerda,2025-03-05,Hot Iron I,20:00-21:00,Dobos Fanny,allee
Csütörtök,2025-03-06,Gerinctorna+stretching,20:00-21:00,Paulovics Adrienn,allee
Szerda,2025-02-26,KRAV-MAGA,06:00-07:30,Sira Gyula,nyugati
Csütörtök,2025-02-27,KRAV-MAGA,06:00-07:30,Sira Gyula,nyugati
Péntek,2025-02-28,Cross Training,06:45-07:45,Kárpáti Ildikó,nyugati
Hétfő,2025-02-24,Alakformáló,07:00-08:00,Berki Betti ,nyugati
Hétfő,2025-02-24,Indoor Cycling ICG,07:00-08:00,Kazi Alex,nyugati
Hétfő,2025-02-24,Funkcionális köredzés,07:15-08:15,Vatamány Krisztina ,nyugati
Hétfő,2025-02-24,Gerincjóga,07:30-08:30,Antal Laura ,nyugati
Kedd,2025-02-25,Indoor Cycling ICG,07:45-08:45,Králik Eszter,nyugati
Szerda,2025-02-26,Alakformáló,07:00-08:00,Borbély Beatrix,nyugati
Szerda,2025-02-26,Indoor Cycling ICG,07:00-08:00,Trankó Ida ,nyugati
Szerda,2025-02-26,Funkcionális köredzés,07:15-08:15,Vatamány Krisztina ,nyugati
Szerda,2025-02-26,Pilates,07:30-08:30,Reitter Zsófia,nyugati
Péntek,2025-02-28,Gerinctorna+stretching,07:00-08:00,Reitter Zsófia,nyugati
Péntek,2025-02-28,Indoor Cycling ICG,07:00-08:00,Kazi Alex,nyugati
