day,date,sport,time,edző,klub
Hétfő,2026-08-17,Funkcionális köredzés,06:30-07:30,Gyurkovics Anikó HU/EN,allee
Kedd,2026-08-18,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Szerda,2026-08-19,Stretching,06:30-07:30,Dán Vanda,allee
Hétfő,2026-08-17,Alakformáló,07:30-08:30,Gyurkovics Anikó HU/EN,allee
Kedd,2026-08-18,Pilates,07:00-08:00,Oli Renáta,allee
Szombat,2026-08-22,Funkcionális köredzés,09:00-10:00,Serrano Gergő HU/EN,allee
Hétfő,2026-08-17,Hot Iron I,10:00-11:00,Dobos Fanny HU/EN,allee
Szerda,2026-08-19,Hot Iron I,10:00-11:00,Dobos Fanny HU/EN,allee
Péntek,2026-08-21,Hot Iron I,10:00-11:00,Dobos Fanny HU/EN,allee
Szombat,2026-08-22,Cross Training,10:00-11:00,Serrano Gergő HU/EN,allee
Vasárnap,2026-08-23,Alakformáló,10:00-11:00,Dobos Fanny HU/EN,allee
Vasárnap,2026-08-23,Pilates.,10:00-11:00,Reitter Zsófia,allee
Kedd,2026-08-18,Stretching.,11:00-12:00,Kovács Laura,allee
Szerda,2026-08-19,Gerinctorna,11:00-12:00,Dobos Fanny HU/EN,allee
Péntek,2026-08-21,Gerinctorna+stretching,11:00-12:00,Dobos Fanny HU/EN,allee
Vasárnap,2026-08-23,Funkcionális köredzés,11:00-12:00,Jónás Gergely,allee
Vasárnap,2026-08-23,KORCE mobility+stability,11:00-12:00,Dobos Fanny HU/EN,allee
Kedd,2026-08-18,Alakformáló,12:00-13:00,Kovács Laura,allee
Szerda,2026-08-19,Alakformáló,12:00-13:00,Dobos Fanny HU/EN,allee
Kedd,2026-08-18,Alakformáló,16:00-17:00,Dobos Fanny HU/EN,allee
Kedd,2026-08-18,Zumba,16:30-17:30,Oli Renáta,allee
Vasárnap,2026-08-23,Funkcionális köredzés,16:30-17:30,Virág Vera,allee
Hétfő,2026-08-17,Alakformáló,17:00-18:00,Nagy Vivien,allee
Hétfő,2026-08-17,Funkcionális köredzés,17:15-18:15,Virág Vera,allee
Hétfő,2026-08-17,Gerinctorna+stretching,17:30-18:30,Paulovics Adrienn,allee
Kedd,2026-08-18,Hot Iron I,17:00-18:00,Dobos Fanny HU/EN,allee
Kedd,2026-08-18,Cross Training,17:15-18:15,Virág Vera,allee
Kedd,2026-08-18,Pilates.,17:30-18:30,Oli Renáta,allee
Szerda,2026-08-19,Alakformáló,17:00-18:00,Sándor Zsanett HU/EN,allee
Szerda,2026-08-19,Funkcionális köredzés,17:15-18:15,Virág Vera,allee
Szerda,2026-08-19,Gerinctorna+stretching,17:30-18:30,Paulovics Adrienn,allee
Csütörtök,2026-08-20,Cross Training,17:15-18:15,Virág Vera,allee
Péntek,2026-08-21,Alakformáló,17:00-18:00,Dobos Fanny HU/EN,allee
Szombat,2026-08-22,Pilates.,17:30-18:30,Reitter Zsófia,allee
Vasárnap,2026-08-23,Hot Iron I,17:00-18:00,Dobos Fanny HU/EN,allee
Hétfő,2026-08-17,Zsírégető,18:00-19:00,Auer Bernadett,allee
Hétfő,2026-08-17,TRX köredzés,18:15-19:15,Trankó Ida ,allee
Hétfő,2026-08-17,Yin  jóga,18:30-19:30,Kovács Rózsa ,allee
Kedd,2026-08-18,Alakformáló,18:00-19:00,Dobos Fanny HU/EN,allee
Kedd,2026-08-18,Funkcionális köredzés,18:15-19:15,Vujicsity Viktória,allee
Kedd,2026-08-18,Gerinctorna.,18:30-19:30,Böröcz Anita,allee
Szerda,2026-08-19,Zsírégető,18:00-19:00,Sándor Zsanett HU/EN,allee
Szerda,2026-08-19,TRX,18:15-19:15,Jónás Gergely,allee
Szerda,2026-08-19,Dinamikus jóga,18:30-19:30,Dobsa Beáta HU/EN,allee
Csütörtök,2026-08-20,Gerinctorna.,18:30-19:30,Böröcz Anita,allee
Péntek,2026-08-21,Hot Iron I,18:00-19:00,Dobos Fanny HU/EN,allee
Vasárnap,2026-08-23,Alakformáló,18:00-19:00,Dobos Fanny HU/EN,allee
Hétfő,2026-08-17,Cardio Kick-box,19:00-20:00,Kalamár Eszter,allee
Hétfő,2026-08-17,Funkcionális köredzés,19:15-20:15,Auer Bernadett,allee
Hétfő,2026-08-17,Pilates.,19:30-20:30,Kovács Rózsa ,allee
Kedd,2026-08-18,Zsírégető,19:00-20:00,Auer Bernadett,allee
Kedd,2026-08-18,TRX köredzés,19:15-20:15,Vujicsity Viktória,allee
Kedd,2026-08-18,Dinamikus jóga,19:30-20:30,Erdős Réka ,allee
Szerda,2026-08-19,Cardio Kick-box,19:00-20:00,Kalamár Eszter,allee
Szerda,2026-08-19,Cross Training,19:15-20:15,Szentgyörgyi Lilien,allee
Szerda,2026-08-19,Gerinctorna,19:30-20:30,Virág Vera,allee
