day,date,sport,time,edző,klub
Kedd,2025-11-18,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Szerda,2025-11-19,Stretching,06:30-07:30,Dán Vanda,allee
Csütörtök,2025-11-20,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Hétfő,2025-11-17,Alakformáló,07:00-08:00,Virág Vera,allee
Kedd,2025-11-18,Pilates.,07:00-08:00,Oli Renáta,allee
Szerda,2025-11-19,Alakformáló,07:00-08:00,Virág Vera,allee
Csütörtök,2025-11-20,Pilates.,07:00-08:00,Kárpáti Ildikó HU/EN,allee
Szombat,2025-11-22,Alakformáló,09:00-10:00,Dobos Fanny,allee
Szombat,2025-11-22,Funkcionális köredzés,09:00-10:00,Kárpáti Ildikó HU/EN,allee
Hétfő,2025-11-17,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Szerda,2025-11-19,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Csütörtök,2025-11-20,Gerinctorna+stretching,10:00-11:00,Kovács Laura,allee
Péntek,2025-11-21,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Szombat,2025-11-22,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Vasárnap,2025-11-23,Alakformáló,10:00-11:00,Dobos Fanny,allee
Vasárnap,2025-11-23,Pilates.,10:00-11:00,Kárpáti Ildikó HU/EN,allee
Hétfő,2025-11-17,Senior torna,11:00-12:00,Béres Réka,allee
Kedd,2025-11-18,Stretching.,11:00-12:00,Kovács Laura,allee
Szerda,2025-11-19,Gerinctorna,11:00-12:00,Dobos Fanny,allee
Csütörtök,2025-11-20,Senior torna,11:00-12:00,Béres Réka,allee
Péntek,2025-11-21,Gerinctorna.,11:00-12:00,Kovács Laura,allee
Szombat,2025-11-22,Stretching.,11:00-12:00,Dobos Fanny,allee
Vasárnap,2025-11-23,Funkcionális köredzés,11:00-12:00,Jónás Gergely,allee
Vasárnap,2025-11-23,KORCE mobility+stability,11:00-12:00,Dobos Fanny,allee
Hétfő,2025-11-17,Alakformáló,12:00-13:00,Béres Réka,allee
Kedd,2025-11-18,Alakformáló,12:00-13:00,Kovács Laura,allee
Szerda,2025-11-19,Alakformáló,12:00-13:00,Dobos Fanny,allee
Csütörtök,2025-11-20,Alakformáló,12:00-13:00,Béres Réka,allee
Péntek,2025-11-21,Alakformáló,12:00-13:00,Kovács Laura,allee
Kedd,2025-11-18,Alakformáló,16:00-17:00,Dobos Fanny,allee
Kedd,2025-11-18,Zumba,16:30-17:30,Oli Renáta,allee
Csütörtök,2025-11-20,Alakformáló,16:00-17:00,Dobos Fanny,allee
Csütörtök,2025-11-20,Zumba,16:30-17:30,Oli Renáta,allee
Hétfő,2025-11-17,Cross Training,17:00-18:00,Kalamár Eszter,allee
Hétfő,2025-11-17,Alakformáló,17:00-18:00,Szalma Borka,allee
Hétfő,2025-11-17,Gerinctorna+stretching.,17:30-18:30,Heiszer Eszter,allee
Kedd,2025-11-18,Hot Iron I,17:00-18:00,Dobos Fanny,allee
Kedd,2025-11-18,Cross Training,17:15-18:15,Virág Vera,allee
Kedd,2025-11-18,Pilates.,17:30-18:30,Oli Renáta,allee
Szerda,2025-11-19,Alakformáló,17:00-18:00,Kalamár Eszter,allee
Szerda,2025-11-19,Funkcionális köredzés,17:15-18:15,Gerő Luca,allee
Szerda,2025-11-19,Gerinctorna+stretching.,17:30-18:30,Heiszer Eszter,allee
Csütörtök,2025-11-20,Hot Iron I,17:00-18:00,Dobos Fanny,allee
Csütörtök,2025-11-20,Cross Training,17:15-18:15,Virág Vera,allee
Csütörtök,2025-11-20,Pilates.,17:30-18:30,Oli Renáta,allee
Péntek,2025-11-21,Alakformáló,17:00-18:00,Dobos Fanny,allee
Péntek,2025-11-21,Runners' Gym,17:00-18:00,Kovács Laura,allee
Péntek,2025-11-21,Zumba,17:30-18:30,Jámbor Bea,allee
Szombat,2025-11-22,Pilates.,17:30-18:30,Kárpáti Ildikó HU/EN,allee
Vasárnap,2025-11-23,Hot Iron I,17:00-18:00,Dobos Fanny,allee
Hétfő,2025-11-17,Cardio Kick-box,18:00-19:00,Kalamár Eszter,allee
Hétfő,2025-11-17,TRX köredzés,18:15-19:15,Vujicsity Viktória,allee
Hétfő,2025-11-17,Yin  jóga,18:30-19:30,Kovács Rózsa ,allee
Kedd,2025-11-18,Alakformáló,18:00-19:00,Dobos Fanny,allee
Kedd,2025-11-18,Funkcionális köredzés,18:15-19:15,Harnos Erika ,allee
Kedd,2025-11-18,Gerinctorna.,18:30-19:30,Böröcz Anita,allee
Szerda,2025-11-19,Cardio Kick-box,18:00-19:00,Kalamár Eszter,allee
Szerda,2025-11-19,TRX,18:15-19:15,Jónás Gergely,allee
