day,date,sport,time,edző,klub
Szombat,2026-08-15,Alakformáló,09:00-10:00,Dobos Fanny HU/EN,allee
Szombat,2026-08-15,Funkcionális köredzés,09:00-10:00,Serrano Gergő HU/EN,allee
Szombat,2026-08-15,Cross Training,10:00-11:00,Serrano Gergő HU/EN,allee
Szombat,2026-08-15,Hot Iron I,10:00-11:00,Dobos Fanny HU/EN,allee
Vasárnap,2026-08-16,Alakformáló,10:00-11:00,Dobos Fanny HU/EN,allee
Vasárnap,2026-08-16,Pilates.,10:00-11:00,Reitter Zsófia,allee
Szombat,2026-08-15,Stretching.,11:00-12:00,Dobos Fanny HU/EN,allee
Vasárnap,2026-08-16,Funkcionális köredzés,11:00-12:00,Jónás Gergely,allee
Vasárnap,2026-08-16,KORCE mobility+stability,11:00-12:00,Dobos Fanny HU/EN,allee
Vasárnap,2026-08-16,Funkcionális köredzés,16:30-17:30,Virág Vera,allee
Szombat,2026-08-15,Pilates.,17:30-18:30,Reitter Zsófia,allee
Vasárnap,2026-08-16,Hot Iron I,17:00-18:00,Dobos Fanny HU/EN,allee
Vasárnap,2026-08-16,Alakformáló,18:00-19:00,Dobos Fanny HU/EN,allee
Szerda,2026-08-05,KRAV-MAGA,06:00-07:30,Sira Gyula,nyugati
Csütörtök,2026-08-06,KRAV-MAGA,06:00-07:30,Sira Gyula,nyugati
Péntek,2026-08-07,Cross Training,06:45-07:45,Kárpáti Ildikó HU/EN,nyugati
Hétfő,2026-08-03,Funkcionális köredzés,07:15-08:15,Vatamány Krisztina ,nyugati
Szerda,2026-08-05,Funkcionális köredzés,07:15-08:15,Vatamány Krisztina ,nyugati
Péntek,2026-08-07,Indoor Cycling ICG,07:30-08:30,Kazi Alex,nyugati
Péntek,2026-08-07,TRX köredzés,07:45-08:45,Kárpáti Ildikó HU/EN,nyugati
Kedd,2026-08-04,Dinamikus pilates,08:00-09:00,Antal Laura HU/EN,nyugati
Péntek,2026-08-07,Dinamikus pilates,08:00-09:00,Antal Laura HU/EN,nyugati
Szombat,2026-08-08,KRAV-MAGA,08:00-09:30,Sira Gyula,nyugati
Kedd,2026-08-04,Hot Iron Cross,09:00-10:00,Szalka Andi,nyugati
Kedd,2026-08-04,Jóga,09:00-10:00,Csonka Anita ,nyugati
Csütörtök,2026-08-06,Hot Iron II,09:00-10:00,Szalka Andi,nyugati
Csütörtök,2026-08-06,Jóga,09:00-10:00,Csonka Anita ,nyugati
Péntek,2026-08-07,Stresszoldó jóga,09:00-10:00,Antal Laura HU/EN,nyugati
Szombat,2026-08-08,BOOSTAR,09:30-10:30,Lebedi Zalán,nyugati
Vasárnap,2026-08-09,Indoor Cycling ICG,09:30-10:30,Králik Eszter HU/EN,nyugati
Szombat,2026-08-08,Giryafit,10:00-11:00,Fischer Gábor HU/EN,nyugati
Szombat,2026-08-08,Indoor Cycling ICG,10:00-11:00,Szalai Ági HU/EN,nyugati
Vasárnap,2026-08-09,Alakformáló,10:00-11:00,Berki Betti ,nyugati
Hétfő,2026-08-03,Pilates.,11:00-12:00,Erdős Réka ,nyugati
Kedd,2026-08-04,Gerinctorna,11:30-12:30,Virág Vera,nyugati
Szerda,2026-08-05,Pilates.,11:00-12:00,Erdős Réka ,nyugati
Szombat,2026-08-08,Dinamikus jóga.,11:00-12:00,Erdős Réka ,nyugati
Vasárnap,2026-08-09,Funkcionális köredzés,11:00-12:00,Szentgyörgyi Lilien,nyugati
Hétfő,2026-08-03,Dinamikus jóga.,12:00-13:00,Erdős Réka ,nyugati
Szerda,2026-08-05,Dinamikus jóga.,12:00-13:00,Erdős Réka ,nyugati
Péntek,2026-08-07,Pilates,12:00-13:00,Csonka Anita ,nyugati
Szombat,2026-08-08,Pilates.,12:00-13:00,Erdős Réka ,nyugati
Péntek,2026-08-07,Pilates.,15:00-16:00,Polányi Petra,nyugati
Szombat,2026-08-08,Salsa Fitness,15:00-16:30,Kabai Petra,nyugati
Vasárnap,2026-08-09,Pilates.,15:45-16:45,Kárpáti Ildikó HU/EN,nyugati
Hétfő,2026-08-03,Pilates.,16:00-17:00,Csonka Anita ,nyugati
Hétfő,2026-08-03,Zumba,16:45-17:45,Kovács Andrea,nyugati
Kedd,2026-08-04,Alakformáló,16:00-17:00,Ábrahám Zsanna,nyugati
Kedd,2026-08-04,Indoor Cycling ICG,16:30-17:30,Böröcz Anita,nyugati
Kedd,2026-08-04,Gerinctorna+stretching,16:45-17:45,Kocsis Kata,nyugati
Szerda,2026-08-05,Pilates.,16:00-17:00,Csonka Anita ,nyugati
Szerda,2026-08-05,Zumba,16:45-17:45,Kovács Andrea,nyugati
Csütörtök,2026-08-06,Alakformáló,16:00-17:00,Ábrahám Zsanna,nyugati
Csütörtök,2026-08-06,Indoor Cycling ICG,16:30-17:30,Böröcz Anita,nyugati
Csütörtök,2026-08-06,Gerinctorna+stretching,16:45-17:45,Auer Bernadett,nyugati
Péntek,2026-08-07,Alakformáló,16:00-17:00,Polányi Petra,nyugati
