day,date,sport,time,edző,klub
Kedd,2026-04-07,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Szerda,2026-04-08,Stretching,06:30-07:30,Dán Vanda,allee
Csütörtök,2026-04-09,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Péntek,2026-04-10,TRX köredzés,06:30-07:30,Auer Bernadett,allee
Kedd,2026-04-07,Pilates,07:00-08:00,Kárpáti Ildikó HU/EN,allee
Csütörtök,2026-04-09,Pilates,07:00-08:00,Kárpáti Ildikó HU/EN,allee
Péntek,2026-04-10,Alakformáló,07:30-08:30,Auer Bernadett,allee
Szombat,2026-04-11,Alakformáló,09:00-10:00,Dobos Fanny HU/EN,allee
Szombat,2026-04-11,Funkcionális köredzés,09:00-10:00,Serrano Gergő HU/EN,allee
Hétfő,2026-04-06,Hot Iron I,10:00-11:00,Dobos Fanny HU/EN,allee
Szerda,2026-04-08,Hot Iron I,10:00-11:00,Dobos Fanny HU/EN,allee
Péntek,2026-04-10,Hot Iron I,10:00-11:00,Dobos Fanny HU/EN,allee
Szombat,2026-04-11,Cross Training,10:00-11:00,Serrano Gergő HU/EN,allee
Szombat,2026-04-11,Hot Iron I,10:00-11:00,Dobos Fanny HU/EN,allee
Vasárnap,2026-04-12,Alakformáló,10:00-11:00,Dobos Fanny HU/EN,allee
Vasárnap,2026-04-12,Pilates.,10:00-11:00,Reitter Zsófia,allee
Hétfő,2026-04-06,Senior torna,11:00-12:00,Dobos Fanny HU/EN,allee
Kedd,2026-04-07,Stretching.,11:00-12:00,Kovács Laura,allee
Szerda,2026-04-08,Gerinctorna,11:00-12:00,Dobos Fanny HU/EN,allee
Csütörtök,2026-04-09,Senior torna,11:00-12:00,Dobos Fanny HU/EN,allee
Péntek,2026-04-10,Gerinctorna+stretching,11:00-12:00,Kovács Laura,allee
Szombat,2026-04-11,Stretching.,11:00-12:00,Dobos Fanny HU/EN,allee
Vasárnap,2026-04-12,Funkcionális köredzés,11:00-12:00,Jónás Gergely,allee
Vasárnap,2026-04-12,KORCE mobility+stability,11:00-12:00,Dobos Fanny HU/EN,allee
Hétfő,2026-04-06,Alakformáló,12:00-13:00,Dobos Fanny HU/EN,allee
Kedd,2026-04-07,Alakformáló,12:00-13:00,Kovács Laura,allee
Szerda,2026-04-08,Alakformáló,12:00-13:00,Dobos Fanny HU/EN,allee
Csütörtök,2026-04-09,Alakformáló,12:00-13:00,Dobos Fanny HU/EN,allee
Péntek,2026-04-10,Alakformáló,12:00-13:00,Kovács Laura,allee
Kedd,2026-04-07,Alakformáló,16:00-17:00,Dobos Fanny HU/EN,allee
Kedd,2026-04-07,Zumba,16:30-17:30,Oli Renáta,allee
Csütörtök,2026-04-09,Alakformáló,16:00-17:00,Dobos Fanny HU/EN,allee
Csütörtök,2026-04-09,Zumba,16:30-17:30,Oli Renáta,allee
Vasárnap,2026-04-12,Funkcionális köredzés,16:30-17:30,Virág Vera,allee
Hétfő,2026-04-06,Alakformáló,17:00-18:00,Bajnok Dávid,allee
Hétfő,2026-04-06,Cross Training,17:00-18:00,Kalamár Eszter,allee
Hétfő,2026-04-06,Gerinctorna+stretching,17:30-18:30,Tordai Luca,allee
Kedd,2026-04-07,Hot Iron I,17:00-18:00,Dobos Fanny HU/EN,allee
Kedd,2026-04-07,Pilates.,17:30-18:30,Oli Renáta,allee
Szerda,2026-04-08,Alakformáló,17:00-18:00,Kalamár Eszter,allee
Szerda,2026-04-08,Funkcionális köredzés,17:15-18:15,Gerő Luca,allee
Szerda,2026-04-08,Gerinctorna+stretching,17:30-18:30,Paulovics Adrienn,allee
Csütörtök,2026-04-09,Hot Iron I,17:00-18:00,Dobos Fanny HU/EN,allee
Csütörtök,2026-04-09,Cross Training,17:15-18:15,Virág Vera,allee
Csütörtök,2026-04-09,Pilates.,17:30-18:30,Oli Renáta,allee
Péntek,2026-04-10,Alakformáló,17:00-18:00,Dobos Fanny HU/EN,allee
Péntek,2026-04-10,Zumba,17:30-18:30,Jámbor Bea,allee
Szombat,2026-04-11,Pilates.,17:30-18:30,Reitter Zsófia,allee
Vasárnap,2026-04-12,Hot Iron I,17:00-18:00,Dobos Fanny HU/EN,allee
Hétfő,2026-04-06,Cardio Kick-box,18:00-19:00,Kalamár Eszter,allee
Hétfő,2026-04-06,TRX köredzés,18:15-19:15,Vujicsity Viktória,allee
Kedd,2026-04-07,Alakformáló,18:00-19:00,Dobos Fanny HU/EN,allee
Kedd,2026-04-07,Funkcionális köredzés,18:15-19:15,Vujicsity Viktória,allee
Kedd,2026-04-07,Gerinctorna.,18:30-19:30,Böröcz Anita,allee
Szerda,2026-04-08,Cardio Kick-box,18:00-19:00,Kalamár Eszter,allee
Szerda,2026-04-08,TRX,18:15-19:15,Jónás Gergely,allee
Szerda,2026-04-08,Pilates.,18:30-19:30,Gerő Luca,allee
Csütörtök,2026-04-09,Alakformáló,18:00-19:00,Dobos Fanny HU/EN,allee
Csütörtök,2026-04-09,TRX köredzés,18:15-19:15,Sánta Stella HU/EN,allee
Csütörtök,2026-04-09,Gerinctorna.,18:30-19:30,Böröcz Anita,allee
Péntek,2026-04-10,Funkcionális köredzés,18:00-19:00,Vujicsity Viktória,allee
Péntek,2026-04-10,Hot Iron I,18:00-19:00,Dobos Fanny HU/EN,allee
Vasárnap,2026-04-12,Alakformáló,18:00-19:00,Dobos Fanny HU/EN,allee
Hétfő,2026-04-06,Zsírégető,19:00-20:00,Kalamár Eszter,allee
Hétfő,2026-04-06,Funkcionális köredzés,19:15-20:15,Vujicsity Viktória,allee
Kedd,2026-04-07,TRX köredzés,19:15-20:15,Vujicsity Viktória,allee
Kedd,2026-04-07,Stretching,19:30-20:30,Dobos Fanny HU/EN,allee
Szerda,2026-04-08,Zsírégető,19:00-20:00,Kalamár Eszter,allee
Szerda,2026-04-08,Cross Training,19:15-20:15,Szentgyörgyi Lilien,allee
Szerda,2026-04-08,Gerinctorna,19:30-20:30,Kovács Laura,allee
Csütörtök,2026-04-09,Zsírégető,19:00-20:00,Auer Bernadett,allee
Csütörtök,2026-04-09,Funkcionális köredzés,19:15-20:15,Sánta Stella HU/EN,allee
Csütörtök,2026-04-09,Dinamikus jóga,19:30-20:30,Erdős Réka ,allee
Péntek,2026-04-10,Kezdő dance step,19:00-20:00,Harnos Erika ,allee
Péntek,2026-04-10,Stretching.,19:00-20:00,Dobos Fanny HU/EN,allee
Péntek,2026-04-10,TRX köredzés,19:00-20:00,Vujicsity Viktória,allee
Szerda,2026-04-08,Hot Iron I,20:00-21:00,Dobos Fanny HU/EN,allee
Csütörtök,2026-04-09,Gerinctorna+stretching,20:00-21:00,Auer Bernadett,allee
Kedd,2026-04-14,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Szerda,2026-04-15,Stretching,06:30-07:30,Dán Vanda,allee
Csütörtök,2026-04-16,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Péntek,2026-04-17,TRX köredzés,06:30-07:30,Auer Bernadett,allee
Kedd,2026-04-14,Pilates,07:00-08:00,Kárpáti Ildikó HU/EN,allee
Csütörtök,2026-04-16,Pilates,07:00-08:00,Kárpáti Ildikó HU/EN,allee
Péntek,2026-04-17,Alakformáló,07:30-08:30,Auer Bernadett,allee
Szombat,2026-04-18,Alakformáló,09:00-10:00,Dobos Fanny HU/EN,allee
Szombat,2026-04-18,Funkcionális köredzés,09:00-10:00,Serrano Gergő HU/EN,allee
