day,date,sport,time,edző,klub
Hétfő,2025-03-17,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Szerda,2025-03-19,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Kedd,2025-03-18,Pilates,07:00-08:00,Kárpáti Ildikó,allee
Kedd,2025-03-18,Zsírégető,07:00-08:00,Borbély Beatrix,allee
Csütörtök,2025-03-20,Pilates,07:00-08:00,Kárpáti Ildikó,allee
Csütörtök,2025-03-20,Zsírégető,07:00-08:00,Borbély Beatrix,allee
Kedd,2025-03-18,Funkcionális köredzés,09:00-10:00,Adamkó Szilvi,allee
Csütörtök,2025-03-20,Funkcionális köredzés,09:00-10:00,Adamkó Szilvi,allee
Péntek,2025-03-21,Funkcionális köredzés,09:00-10:00,Adamkó Szilvi,allee
Szombat,2025-03-22,Alakformáló,09:00-10:00,Dobos Fanny,allee
Szombat,2025-03-22,Funkcionális köredzés,09:00-10:00,Serrano Gergő,allee
Hétfő,2025-03-17,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Szerda,2025-03-19,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Péntek,2025-03-21,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Szombat,2025-03-22,Cross Training,10:00-11:00,Serrano Gergő,allee
Szombat,2025-03-22,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Vasárnap,2025-03-23,Alakformáló,10:00-11:00,Dobos Fanny,allee
Vasárnap,2025-03-23,Cross Training,10:00-11:00,Jónás Gergely,allee
Vasárnap,2025-03-23,Pilates,10:00-11:00,Kárpáti Ildikó,allee
Hétfő,2025-03-17,Senior torna,11:00-12:00,Béres Réka,allee
Kedd,2025-03-18,Stretching.,11:00-12:00,Kovács Laura,allee
Szerda,2025-03-19,gerinctorna,11:00-12:00,Dobos Fanny,allee
Csütörtök,2025-03-20,Senior torna,11:00-12:00,Béres Réka,allee
Csütörtök,2025-03-20,Stretching.,11:00-12:00,Kovács Laura,allee
Péntek,2025-03-21,Gerinctorna,11:00-12:00,Kovács Laura,allee
Szombat,2025-03-22,Stretching.,11:00-12:00,Dobos Fanny,allee
Vasárnap,2025-03-23,Funkcionális köredzés,11:00-12:00,Jónás Gergely,allee
Vasárnap,2025-03-23,Gerinctorna,11:00-12:00,Dobos Fanny,allee
Hétfő,2025-03-17,Alakformáló,12:00-13:00,Béres Réka,allee
Kedd,2025-03-18,Alakformáló,12:00-13:00,Kovács Laura,allee
Szerda,2025-03-19,Alakformáló,12:00-13:00,Dobos Fanny,allee
Csütörtök,2025-03-20,Alakformáló,12:00-13:00,Béres Réka,allee
Péntek,2025-03-21,Alakformáló,12:00-13:00,Kovács Laura,allee
Kedd,2025-03-18,Alakformáló,16:00-17:00,Dobos Fanny,allee
Csütörtök,2025-03-20,Alakformáló,16:00-17:00,Dobos Fanny,allee
Hétfő,2025-03-17,Alakformáló,17:00-18:00,Szalma Borka,allee
Hétfő,2025-03-17,Cross Training,17:00-18:00,Kalamár Eszter,allee
Hétfő,2025-03-17,Gerinctorna+stretching.,17:30-18:30,Heiszer Eszter,allee
Kedd,2025-03-18,Hot Iron I,17:00-18:00,Dobos Fanny,allee
Kedd,2025-03-18,Cross Training,17:15-18:15,Kovács Anikó,allee
Kedd,2025-03-18,Pilates.,17:30-18:30,Kurucz Gyöngyvér,allee
Szerda,2025-03-19,Alakformáló,17:00-18:00,Vincze Kata,allee
Szerda,2025-03-19,Funkcionális köredzés,17:15-18:15,Gerő Luca,allee
Szerda,2025-03-19,Gerinctorna+stretching.,17:30-18:30,Heiszer Eszter,allee
Csütörtök,2025-03-20,Hot Iron I,17:00-18:00,Dobos Fanny,allee
Csütörtök,2025-03-20,Cross Training,17:15-18:15,Serrano Gergő,allee
Péntek,2025-03-21,Alakformáló,17:00-18:00,Dobos Fanny,allee
Péntek,2025-03-21,Kezdő funkcionális köredzés ,17:00-18:00,Gerő Luca,allee
Péntek,2025-03-21,Zumba,17:30-18:30,Jámbor Bea,allee
Szombat,2025-03-22,Pilates,17:30-18:30,Reitter Zsófia,allee
Vasárnap,2025-03-23,Hot Iron I,17:00-18:00,Dobos Fanny,allee
Hétfő,2025-03-17,Cardio Kick-box,18:00-19:00,Kalamár Eszter,allee
Hétfő,2025-03-17,DEEPWORK ,18:15-19:15,Kocsomba Nelli ,allee
Hétfő,2025-03-17,Yin  jóga,18:30-19:30,Kovács Rózsa ,allee
Kedd,2025-03-18,Alakformáló,18:00-19:00,Dobos Fanny,allee
Kedd,2025-03-18,TRX köredzés,18:15-19:15,Kovács Anikó,allee
Kedd,2025-03-18,Gerinctorna,18:30-19:30,Vincze Kata,allee
Szerda,2025-03-19,Cardio Kick-box,18:00-19:00,Kalamár Eszter,allee
Szerda,2025-03-19,DEEPWORK ,18:15-19:15,Kocsomba Nelli ,allee
Szerda,2025-03-19,Pilates,18:30-19:30,Gerő Luca,allee
Csütörtök,2025-03-20,Alakformáló,18:00-19:00,Dobos Fanny,allee
Csütörtök,2025-03-20,TRX köredzés,18:15-19:15,Serrano Gergő,allee
Csütörtök,2025-03-20,Gerinctorna,18:30-19:30,Vincze Kata,allee
Péntek,2025-03-21,Funkcionális köredzés,18:00-19:00,Vujicsity Viktória,allee
Péntek,2025-03-21,Hot Iron I,18:00-19:00,Dobos Fanny,allee
Szombat,2025-03-22,Gerinctorna,18:30-19:30,Reitter Zsófia,allee
Vasárnap,2025-03-23,Alakformáló,18:00-19:00,Dobos Fanny,allee
Hétfő,2025-03-17,Zsírégető,19:00-20:00,Kalamár Eszter,allee
Hétfő,2025-03-17,Funkcionális köredzés,19:15-20:15,Vujicsity Viktória,allee
Hétfő,2025-03-17,Pilates.,19:30-20:30,Kovács Rózsa ,allee
Kedd,2025-03-18,Zsírégető,19:00-20:00,Paulovics Adrienn,allee
Kedd,2025-03-18,Funkcionális köredzés,19:15-20:15,Vujicsity Viktória,allee
Kedd,2025-03-18,Dinamikus jóga,19:30-20:30,Erdős Réka ,allee
Szerda,2025-03-19,Zsírégető,19:00-20:00,Kalamár Eszter,allee
Szerda,2025-03-19,Cross Training,19:15-20:15,Szentgyörgyi Lilien,allee
Csütörtök,2025-03-20,Zsírégető,19:00-20:00,Paulovics Adrienn,allee
Csütörtök,2025-03-20,Funkcionális köredzés,19:15-20:15,Sánta Stella,allee
Csütörtök,2025-03-20,Stretching,19:30-20:30,Dobos Fanny,allee
Péntek,2025-03-21,Alakformáló,19:00-20:00,Szalma Borka,allee
Péntek,2025-03-21,Stretching,19:00-20:00,Dobos Fanny,allee
Hétfő,2025-03-17,Hot Iron I,20:00-21:00,Dobos Fanny,allee
Kedd,2025-03-18,Gerinctorna,20:00-21:00,Paulovics Adrienn,allee
Szerda,2025-03-19,Hot Iron I,20:00-21:00,Dobos Fanny,allee
Csütörtök,2025-03-20,Gerinctorna+stretching,20:00-21:00,Paulovics Adrienn,allee
Hétfő,2025-03-24,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Szerda,2025-03-26,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Kedd,2025-03-25,Pilates,07:00-08:00,Kárpáti Ildikó,allee
Kedd,2025-03-25,Zsírégető,07:00-08:00,Borbély Beatrix,allee
Csütörtök,2025-03-27,Pilates,07:00-08:00,Kárpáti Ildikó,allee
Csütörtök,2025-03-27,Zsírégető,07:00-08:00,Borbély Beatrix,allee
Kedd,2025-03-25,Funkcionális köredzés,09:00-10:00,Adamkó Szilvi,allee
Csütörtök,2025-03-27,Funkcionális köredzés,09:00-10:00,Adamkó Szilvi,allee
Péntek,2025-03-28,Funkcionális köredzés,09:00-10:00,Adamkó Szilvi,allee
Szombat,2025-03-29,Alakformáló,09:00-10:00,Kovács Laura,allee
Szombat,2025-03-29,Funkcionális köredzés,09:00-10:00,Serrano Gergő,allee
Hétfő,2025-03-24,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Szerda,2025-03-26,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Szombat,2025-03-29,Cross Training,10:00-11:00,Serrano Gergő,allee
Szombat,2025-03-29,Súlyzórudas edzés,10:00-11:00,Kovács Laura,allee
Vasárnap,2025-03-30,Alakformáló,10:00-11:00,Dobos Fanny,allee
Vasárnap,2025-03-30,Cross Training,10:00-11:00,Jónás Gergely,allee
Vasárnap,2025-03-30,Pilates,10:00-11:00,Reitter Zsófia,allee
Hétfő,2025-03-24,Senior torna,11:00-12:00,Béres Réka,allee
Kedd,2025-03-25,Stretching.,11:00-12:00,Kovács Laura,allee
Szerda,2025-03-26,gerinctorna,11:00-12:00,Dobos Fanny,allee
Csütörtök,2025-03-27,Senior torna,11:00-12:00,Béres Réka,allee
Csütörtök,2025-03-27,Stretching.,11:00-12:00,Kovács Laura,allee
Péntek,2025-03-28,Gerinctorna,11:00-12:00,Kovács Laura,allee
Szombat,2025-03-29,Stretching.,11:00-12:00,Kovács Laura,allee
Vasárnap,2025-03-30,Funkcionális köredzés,11:00-12:00,Jónás Gergely,allee
Vasárnap,2025-03-30,Gerinctorna,11:00-12:00,Dobos Fanny,allee
Hétfő,2025-03-24,Alakformáló,12:00-13:00,Béres Réka,allee
Kedd,2025-03-25,Alakformáló,12:00-13:00,Kovács Laura,allee
Szerda,2025-03-26,Alakformáló,12:00-13:00,Dobos Fanny,allee
Csütörtök,2025-03-27,Alakformáló,12:00-13:00,Béres Réka,allee
Péntek,2025-03-28,Alakformáló,12:00-13:00,Kovács Laura,allee
Kedd,2025-03-25,Alakformáló,16:00-17:00,Dobos Fanny,allee
Kedd,2025-03-25,Zumba,16:30-17:30,Oli Renáta,allee
Csütörtök,2025-03-27,Alakformáló,16:00-17:00,Dobos Fanny,allee
Hétfő,2025-03-24,Alakformáló,17:00-18:00,Szalma Borka,allee
Hétfő,2025-03-24,Cross Training,17:00-18:00,Kalamár Eszter,allee
Hétfő,2025-03-24,Gerinctorna+stretching.,17:30-18:30,Heiszer Eszter,allee
Kedd,2025-03-25,Hot Iron I,17:00-18:00,Dobos Fanny,allee
Kedd,2025-03-25,Cross Training,17:15-18:15,Kovács Anikó,allee
Kedd,2025-03-25,Pilates.,17:30-18:30,Oli Renáta,allee
Szerda,2025-03-26,Alakformáló,17:00-18:00,Vincze Kata,allee
Szerda,2025-03-26,Funkcionális köredzés,17:15-18:15,Gerő Luca,allee
Szerda,2025-03-26,Gerinctorna+stretching.,17:30-18:30,Heiszer Eszter,allee
Csütörtök,2025-03-27,Hot Iron I,17:00-18:00,Dobos Fanny,allee
Csütörtök,2025-03-27,Cross Training,17:15-18:15,Kovács Anikó,allee
