day,date,sport,time,edző,klub
Hétfő,2024-11-11,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Szerda,2024-11-13,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Hétfő,2024-11-11,Alakformáló,07:00-08:00,Szalma Borka,allee
Kedd,2024-11-12,Alakformáló,07:00-08:00,Némethy Panna ,allee
Kedd,2024-11-12,Pilates,07:00-08:00,Oli Renáta,allee
Szerda,2024-11-13,Alakformáló,07:00-08:00,Szalma Borka,allee
Szerda,2024-11-13,Pilates&stretching,07:00-08:00,Némethy Panna ,allee
Csütörtök,2024-11-14,Pilates,07:00-08:00,Erdős Réka ,allee
Péntek,2024-11-15,Alakformáló,07:00-08:00,Szalma Borka,allee
Péntek,2024-11-15,Pilates,07:00-08:00,Némethy Panna ,allee
Szerda,2024-11-13,Zsírégető,08:00-09:00,Némethy Panna ,allee
Péntek,2024-11-15,Zsírégető,08:00-09:00,Némethy Panna ,allee
Péntek,2024-11-15,Funkcionális köredzés,09:00-10:00,Némethy Panna ,allee
Szombat,2024-11-16,Alakformáló,09:00-10:00,Dobos Fanny,allee
Szombat,2024-11-16,Funkcionális köredzés,09:00-10:00,Serrano Gergő,allee
Hétfő,2024-11-11,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Szerda,2024-11-13,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Péntek,2024-11-15,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Szombat,2024-11-16,Cross Training,10:00-11:00,Serrano Gergő,allee
Szombat,2024-11-16,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Vasárnap,2024-11-17,Alakformáló,10:00-11:00,Dobos Fanny,allee
Vasárnap,2024-11-17,Cross Training,10:00-11:00,Jónás Gergely,allee
Hétfő,2024-11-11,Senior torna,11:00-12:00,Béres Réka,allee
Kedd,2024-11-12,Stretching.,11:00-12:00,Kovács Laura,allee
Szerda,2024-11-13,gerinctorna,11:00-12:00,Dobos Fanny,allee
Csütörtök,2024-11-14,Senior torna,11:00-12:00,Béres Réka,allee
Csütörtök,2024-11-14,Stretching.,11:00-12:00,Kovács Laura,allee
Péntek,2024-11-15,Gerinctorna,11:00-12:00,Kovács Laura,allee
Szombat,2024-11-16,Stretching.,11:00-12:00,Dobos Fanny,allee
Vasárnap,2024-11-17,Funkcionális köredzés,11:00-12:00,Jónás Gergely,allee
Vasárnap,2024-11-17,Gerinctorna,11:00-12:00,Dobos Fanny,allee
Hétfő,2024-11-11,Alakformáló,12:00-13:00,Béres Réka,allee
Kedd,2024-11-12,Alakformáló,12:00-13:00,Kovács Laura,allee
Szerda,2024-11-13,Alakformáló,12:00-13:00,Dobos Fanny,allee
