day,date,sport,time,edző,klub
Hétfő,2026-08-24,Funkcionális köredzés,06:30-07:30,Fóthi Saci HU/EN,allee
Kedd,2026-08-25,Funkcionális köredzés,06:30-07:30,Auer Bernadett,allee
Szerda,2026-08-26,Stretching,06:30-07:30,Auer Bernadett,allee
Csütörtök,2026-08-27,Funkcionális köredzés,06:30-07:30,Auer Bernadett,allee
Péntek,2026-08-28,TRX köredzés,06:30-07:30,Auer Bernadett,allee
Hétfő,2026-08-24,Alakformáló,07:30-08:30,Fóthi Saci HU/EN,allee
Kedd,2026-08-25,Pilates,07:00-08:00,Kárpáti Ildikó HU/EN,allee
Csütörtök,2026-08-27,Pilates,07:00-08:00,Kárpáti Ildikó HU/EN,allee
Péntek,2026-08-28,Alakformáló,07:30-08:30,Auer Bernadett,allee
Szombat,2026-08-29,Alakformáló,09:00-10:00,Dobos Fanny HU/EN,allee
Szombat,2026-08-29,Funkcionális köredzés,09:00-10:00,Serrano Gergő HU/EN,allee
Hétfő,2026-08-24,Hot Iron I,10:00-11:00,Dobos Fanny HU/EN,allee
Szerda,2026-08-26,Hot Iron I,10:00-11:00,Dobos Fanny HU/EN,allee
Péntek,2026-08-28,Hot Iron I,10:00-11:00,Dobos Fanny HU/EN,allee
Szombat,2026-08-29,Cross Training,10:00-11:00,Serrano Gergő HU/EN,allee
Szombat,2026-08-29,Hot Iron I,10:00-11:00,Dobos Fanny HU/EN,allee
Vasárnap,2026-08-30,Alakformáló,10:00-11:00,Dobos Fanny HU/EN,allee
Vasárnap,2026-08-30,Pilates.,10:00-11:00,Kárpáti Ildikó HU/EN,allee
Kedd,2026-08-25,Stretching.,11:00-12:00,Kovács Laura,allee
Szerda,2026-08-26,Gerinctorna,11:00-12:00,Dobos Fanny HU/EN,allee
Péntek,2026-08-28,Gerinctorna+stretching,11:00-12:00,Dobos Fanny HU/EN,allee
Szombat,2026-08-29,Stretching.,11:00-12:00,Dobos Fanny HU/EN,allee
Vasárnap,2026-08-30,Funkcionális köredzés,11:00-12:00,Jónás Gergely,allee
Vasárnap,2026-08-30,KORCE mobility+stability,11:00-12:00,Dobos Fanny HU/EN,allee
Kedd,2026-08-25,Alakformáló,12:00-13:00,Kovács Laura,allee
