day,date,sport,time,edző,klub
Kedd,2026-02-17,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Szerda,2026-02-18,Stretching,06:30-07:30,Dán Vanda,allee
Csütörtök,2026-02-19,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Kedd,2026-02-17,Pilates.,07:00-08:00,Kárpáti Ildikó HU/EN,allee
Csütörtök,2026-02-19,Pilates.,07:00-08:00,Kárpáti Ildikó HU/EN,allee
Szombat,2026-02-21,Alakformáló,09:00-10:00,Dobos Fanny HU/EN,allee
Szombat,2026-02-21,Funkcionális köredzés,09:00-10:00,Serrano Gergő HU/EN,allee
Hétfő,2026-02-16,Hot Iron I,10:00-11:00,Dobos Fanny HU/EN,allee
Szerda,2026-02-18,Hot Iron I,10:00-11:00,Dobos Fanny HU/EN,allee
Péntek,2026-02-20,Hot Iron I,10:00-11:00,Dobos Fanny HU/EN,allee
Szombat,2026-02-21,Cross Training,10:00-11:00,Serrano Gergő HU/EN,allee
Szombat,2026-02-21,Hot Iron I,10:00-11:00,Dobos Fanny HU/EN,allee
Vasárnap,2026-02-22,Alakformáló,10:00-11:00,Dobos Fanny HU/EN,allee
Vasárnap,2026-02-22,Pilates.,10:00-11:00,Kárpáti Ildikó HU/EN,allee
Hétfő,2026-02-16,Senior torna,11:00-12:00,Béres Réka,allee
Kedd,2026-02-17,Stretching.,11:00-12:00,Kovács Laura,allee
Szerda,2026-02-18,Gerinctorna,11:00-12:00,Dobos Fanny HU/EN,allee
Csütörtök,2026-02-19,Senior torna,11:00-12:00,Béres Réka,allee
Péntek,2026-02-20,Gerinctorna+stretching,11:00-12:00,Kovács Laura,allee
Szombat,2026-02-21,Stretching.,11:00-12:00,Dobos Fanny HU/EN,allee
Vasárnap,2026-02-22,Funkcionális köredzés,11:00-12:00,Jónás Gergely,allee
Vasárnap,2026-02-22,KORCE mobility+stability,11:00-12:00,Dobos Fanny HU/EN,allee
Hétfő,2026-02-16,Alakformáló,12:00-13:00,Béres Réka,allee
Kedd,2026-02-17,Alakformáló,12:00-13:00,Kovács Laura,allee
Szerda,2026-02-18,Alakformáló,12:00-13:00,Dobos Fanny HU/EN,allee
Csütörtök,2026-02-19,Alakformáló,12:00-13:00,Béres Réka,allee
Péntek,2026-02-20,Alakformáló,12:00-13:00,Kovács Laura,allee
Kedd,2026-02-17,Alakformáló,16:00-17:00,Dobos Fanny HU/EN,allee
Kedd,2026-02-17,Zumba,16:30-17:30,Oli Renáta,allee
Csütörtök,2026-02-19,Alakformáló,16:00-17:00,Dobos Fanny HU/EN,allee
Csütörtök,2026-02-19,Zumba,16:30-17:30,Oli Renáta,allee
Vasárnap,2026-02-22,Funkcionális köredzés,16:30-17:30,Kárpáti Ildikó HU/EN,allee
Hétfő,2026-02-16,Alakformáló,17:00-18:00,Nagy Vivien,allee
Hétfő,2026-02-16,Cross Training,17:00-18:00,Auer Bernadett,allee
Hétfő,2026-02-16,Gerinctorna+stretching.,17:30-18:30,Paulovics Adrienn,allee
Kedd,2026-02-17,Hot Iron I,17:00-18:00,Dobos Fanny HU/EN,allee
Kedd,2026-02-17,Cross Training,17:15-18:15,Virág Vera,allee
Kedd,2026-02-17,Pilates.,17:30-18:30,Oli Renáta,allee
Szerda,2026-02-18,Alakformáló,17:00-18:00,Kalamár Eszter,allee
Szerda,2026-02-18,Funkcionális köredzés,17:15-18:15,Gerő Luca,allee
Szerda,2026-02-18,Gerinctorna+stretching.,17:30-18:30,Paulovics Adrienn,allee
Csütörtök,2026-02-19,Hot Iron I,17:00-18:00,Dobos Fanny HU/EN,allee
Csütörtök,2026-02-19,Cross Training,17:15-18:15,Virág Vera,allee
Csütörtök,2026-02-19,Pilates.,17:30-18:30,Oli Renáta,allee
Péntek,2026-02-20,Alakformáló,17:00-18:00,Dobos Fanny HU/EN,allee
Péntek,2026-02-20,Runners Gym,17:00-18:00,Serrano Gergő HU/EN,allee
Péntek,2026-02-20,Zumba,17:30-18:30,Jámbor Bea,allee
Szombat,2026-02-21,Pilates.,17:30-18:30,Reitter Zsófia,allee
Vasárnap,2026-02-22,Hot Iron I,17:00-18:00,Dobos Fanny HU/EN,allee
Hétfő,2026-02-16,Alakformáló,18:00-19:00,Auer Bernadett,allee
Hétfő,2026-02-16,TRX köredzés,18:15-19:15,Vujicsity Viktória,allee
Hétfő,2026-02-16,Yin  jóga,18:30-19:30,Kovács Rózsa ,allee
Kedd,2026-02-17,Alakformáló,18:00-19:00,Dobos Fanny HU/EN,allee
Kedd,2026-02-17,Funkcionális köredzés,18:15-19:15,Vujicsity Viktória,allee
Kedd,2026-02-17,Gerinctorna.,18:30-19:30,Böröcz Anita,allee
Szerda,2026-02-18,Cardio Kick-box,18:00-19:00,Kalamár Eszter,allee
Szerda,2026-02-18,TRX,18:15-19:15,Jónás Gergely,allee
Szerda,2026-02-18,Pilates.,18:30-19:30,Gerő Luca,allee
Csütörtök,2026-02-19,Alakformáló,18:00-19:00,Dobos Fanny HU/EN,allee
Csütörtök,2026-02-19,TRX köredzés,18:15-19:15,Sánta Stella HU/EN,allee
Csütörtök,2026-02-19,Gerinctorna.,18:30-19:30,Böröcz Anita,allee
Péntek,2026-02-20,Funkcionális köredzés,18:00-19:00,Vujicsity Viktória,allee
Péntek,2026-02-20,Hot Iron I,18:00-19:00,Dobos Fanny HU/EN,allee
Vasárnap,2026-02-22,Alakformáló,18:00-19:00,Dobos Fanny HU/EN,allee
Hétfő,2026-02-16,Full kondi,19:00-20:00,Lebedi Zalán,allee
Hétfő,2026-02-16,Funkcionális köredzés,19:15-20:15,Vujicsity Viktória,allee
Hétfő,2026-02-16,Pilates.,19:30-20:30,Kovács Rózsa ,allee
Kedd,2026-02-17,Zsírégető,19:00-20:00,Auer Bernadett,allee
Kedd,2026-02-17,TRX köredzés,19:15-20:15,Vujicsity Viktória,allee
Kedd,2026-02-17,Dinamikus jóga,19:30-20:30,Szabó Júlia,allee
Szerda,2026-02-18,Zsírégető,19:00-20:00,Kalamár Eszter,allee
Szerda,2026-02-18,Cross Training,19:15-20:15,Szentgyörgyi Lilien,allee
Szerda,2026-02-18,Gerinctorna,19:30-20:30,Virág Vera,allee
Csütörtök,2026-02-19,Zsírégető,19:00-20:00,Borbély Beatrix,allee
Csütörtök,2026-02-19,Funkcionális köredzés,19:15-20:15,Sánta Stella HU/EN,allee
Csütörtök,2026-02-19,Dinamikus jóga,19:30-20:30,Boros Orsolya HU/EN,allee
Péntek,2026-02-20,Kezdő dance step,19:00-20:00,Harnos Erika ,allee
Péntek,2026-02-20,Stretching.,19:00-20:00,Dobos Fanny HU/EN,allee
Péntek,2026-02-20,TRX köredzés,19:00-20:00,Vujicsity Viktória,allee
Hétfő,2026-02-16,Hot Iron I,20:00-21:00,Dobos Fanny HU/EN,allee
Kedd,2026-02-17,Gerinctorna+stretching,20:00-21:00,Auer Bernadett,allee
Szerda,2026-02-18,Hot Iron I,20:00-21:00,Dobos Fanny HU/EN,allee
Csütörtök,2026-02-19,Gerinctorna+stretching,20:00-21:00,Kovács Laura,allee
Hétfő,2026-02-23,TRX köredzés,06:30-07:30,Auer Bernadett,allee
Kedd,2026-02-24,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Szerda,2026-02-25,Stretching,06:30-07:30,Dán Vanda,allee
Csütörtök,2026-02-26,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Péntek,2026-02-27,TRX köredzés,06:30-07:30,Auer Bernadett,allee
Kedd,2026-02-24,Pilates.,07:00-08:00,Kárpáti Ildikó HU/EN,allee
Csütörtök,2026-02-26,Pilates.,07:00-08:00,Kárpáti Ildikó HU/EN,allee
Péntek,2026-02-27,Alakformáló,07:30-08:30,Auer Bernadett,allee
Szombat,2026-02-28,Alakformáló,09:00-10:00,Dobos Fanny HU/EN,allee
Szombat,2026-02-28,Funkcionális köredzés,09:00-10:00,Serrano Gergő HU/EN,allee
Hétfő,2026-02-23,Hot Iron I,10:00-11:00,Dobos Fanny HU/EN,allee
Szerda,2026-02-25,Hot Iron I,10:00-11:00,Dobos Fanny HU/EN,allee
