day,date,sport,time,edző,klub
Kedd,2026-01-20,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Szerda,2026-01-21,Stretching,06:30-07:30,Dán Vanda,allee
Csütörtök,2026-01-22,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Kedd,2026-01-20,Pilates.,07:00-08:00,Kárpáti Ildikó HU/EN,allee
Csütörtök,2026-01-22,Pilates.,07:00-08:00,Kárpáti Ildikó HU/EN,allee
Szombat,2026-01-24,Alakformáló,09:00-10:00,Dobos Fanny HU/EN,allee
Szombat,2026-01-24,Funkcionális köredzés,09:00-10:00,Serrano Gergő HU/EN,allee
Hétfő,2026-01-19,Hot Iron I,10:00-11:00,Dobos Fanny HU/EN,allee
Szerda,2026-01-21,Hot Iron I,10:00-11:00,Dobos Fanny HU/EN,allee
Csütörtök,2026-01-22,Gerinctorna+stretching,10:00-11:00,Kovács Laura,allee
Péntek,2026-01-23,Hot Iron I,10:00-11:00,Dobos Fanny HU/EN,allee
Szombat,2026-01-24,Cross Training,10:00-11:00,Serrano Gergő HU/EN,allee
Szombat,2026-01-24,Hot Iron I,10:00-11:00,Dobos Fanny HU/EN,allee
Vasárnap,2026-01-25,Alakformáló,10:00-11:00,Dobos Fanny HU/EN,allee
Vasárnap,2026-01-25,Pilates.,10:00-11:00,Reitter Zsófia,allee
Hétfő,2026-01-19,Senior torna,11:00-12:00,Béres Réka,allee
Kedd,2026-01-20,Stretching.,11:00-12:00,Kovács Laura,allee
Szerda,2026-01-21,Gerinctorna,11:00-12:00,Dobos Fanny HU/EN,allee
Csütörtök,2026-01-22,Senior torna,11:00-12:00,Béres Réka,allee
Péntek,2026-01-23,Gerinctorna.,11:00-12:00,Auer Bernadett,allee
Szombat,2026-01-24,Stretching.,11:00-12:00,Dobos Fanny HU/EN,allee
Vasárnap,2026-01-25,Funkcionális köredzés,11:00-12:00,Jónás Gergely,allee
Vasárnap,2026-01-25,KORCE mobility+stability,11:00-12:00,Dobos Fanny HU/EN,allee
Hétfő,2026-01-19,Alakformáló,12:00-13:00,Béres Réka,allee
Kedd,2026-01-20,Alakformáló,12:00-13:00,Kovács Laura,allee
Szerda,2026-01-21,Alakformáló,12:00-13:00,Dobos Fanny HU/EN,allee
Csütörtök,2026-01-22,Alakformáló,12:00-13:00,Béres Réka,allee
Péntek,2026-01-23,Alakformáló,12:00-13:00,Auer Bernadett,allee
Kedd,2026-01-20,Alakformáló,16:00-17:00,Dobos Fanny HU/EN,allee
Csütörtök,2026-01-22,Alakformáló,16:00-17:00,Dobos Fanny HU/EN,allee
Vasárnap,2026-01-25,Funkcionális köredzés,16:30-17:30,Virág Vera,allee
Hétfő,2026-01-19,Alakformáló,17:00-18:00,Nagy Vivien,allee
Hétfő,2026-01-19,Cross Training,17:00-18:00,Kalamár Eszter,allee
Hétfő,2026-01-19,Gerinctorna+stretching.,17:30-18:30,Paulovics Adrienn,allee
Kedd,2026-01-20,Hot Iron I,17:00-18:00,Dobos Fanny HU/EN,allee
Kedd,2026-01-20,Cross Training,17:15-18:15,Virág Vera,allee
Kedd,2026-01-20,Pilates.,17:30-18:30,Kocsomba Nelli ,allee
Szerda,2026-01-21,Alakformáló,17:00-18:00,Kalamár Eszter,allee
Szerda,2026-01-21,Funkcionális köredzés,17:15-18:15,Dán Vanda,allee
Szerda,2026-01-21,Gerinctorna+stretching.,17:30-18:30,Paulovics Adrienn,allee
Csütörtök,2026-01-22,Hot Iron I,17:00-18:00,Dobos Fanny HU/EN,allee
Csütörtök,2026-01-22,Cross Training,17:15-18:15,Virág Vera,allee
Csütörtök,2026-01-22,Pilates.,17:30-18:30,Kocsomba Nelli ,allee
Péntek,2026-01-23,Alakformáló,17:00-18:00,Dobos Fanny HU/EN,allee
Péntek,2026-01-23,Runners Gym,17:00-18:00,Serrano Gergő HU/EN,allee
Péntek,2026-01-23,Zumba,17:30-18:30,Jámbor Bea,allee
Szombat,2026-01-24,Pilates.,17:30-18:30,Reitter Zsófia,allee
Vasárnap,2026-01-25,Hot Iron I,17:00-18:00,Dobos Fanny HU/EN,allee
Hétfő,2026-01-19,Cardio Kick-box,18:00-19:00,Kalamár Eszter,allee
Hétfő,2026-01-19,TRX köredzés,18:15-19:15,Vujicsity Viktória,allee
Hétfő,2026-01-19,Yin  jóga,18:30-19:30,Kovács Rózsa ,allee
Kedd,2026-01-20,Alakformáló,18:00-19:00,Dobos Fanny HU/EN,allee
Kedd,2026-01-20,Funkcionális köredzés,18:15-19:15,Vujicsity Viktória,allee
Kedd,2026-01-20,Gerinctorna.,18:30-19:30,Böröcz Anita,allee
Szerda,2026-01-21,Cardio Kick-box,18:00-19:00,Kalamár Eszter,allee
Szerda,2026-01-21,TRX,18:15-19:15,Jónás Gergely,allee
Szerda,2026-01-21,Pilates.,18:30-19:30,Kocsomba Nelli ,allee
Csütörtök,2026-01-22,Alakformáló,18:00-19:00,Dobos Fanny HU/EN,allee
Csütörtök,2026-01-22,TRX köredzés,18:15-19:15,Sánta Stella HU/EN,allee
Csütörtök,2026-01-22,Gerinctorna.,18:30-19:30,Böröcz Anita,allee
Péntek,2026-01-23,Funkcionális köredzés,18:00-19:00,Vujicsity Viktória,allee
Péntek,2026-01-23,Hot Iron I,18:00-19:00,Dobos Fanny HU/EN,allee
Vasárnap,2026-01-25,Alakformáló,18:00-19:00,Dobos Fanny HU/EN,allee
Hétfő,2026-01-19,Zsírégető,19:00-20:00,Kalamár Eszter,allee
Hétfő,2026-01-19,Funkcionális köredzés,19:15-20:15,Vujicsity Viktória,allee
Hétfő,2026-01-19,Pilates.,19:30-20:30,Kovács Rózsa ,allee
Kedd,2026-01-20,Zsírégető,19:00-20:00,Auer Bernadett,allee
Kedd,2026-01-20,TRX köredzés,19:15-20:15,Vujicsity Viktória,allee
Kedd,2026-01-20,Dinamikus jóga,19:30-20:30,Erdős Réka ,allee
Szerda,2026-01-21,Zsírégető,19:00-20:00,Kalamár Eszter,allee
