day,date,sport,time,edző,klub
Kedd,2025-12-30,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Hétfő,2025-12-29,Alakformáló,07:00-08:00,Virág Vera,allee
Kedd,2025-12-30,Pilates.,07:00-08:00,Kárpáti Ildikó HU/EN,allee
Szombat,2026-01-03,Alakformáló,09:00-10:00,Dobos Fanny HU/EN,allee
Szombat,2026-01-03,Funkcionális köredzés,09:00-10:00,Serrano Gergő HU/EN,allee
Szerda,2025-12-31,Cross Training,10:00-11:00,Serrano Gergő HU/EN,allee
Szerda,2025-12-31,Hot Iron I,10:00-11:00,Dobos Fanny HU/EN,allee
Péntek,2026-01-02,Hot Iron I,10:00-11:00,Dobos Fanny HU/EN,allee
Szombat,2026-01-03,Cross Training,10:00-11:00,Serrano Gergő HU/EN,allee
Szombat,2026-01-03,Hot Iron I,10:00-11:00,Dobos Fanny HU/EN,allee
Vasárnap,2026-01-04,Alakformáló,10:00-11:00,Dobos Fanny HU/EN,allee
Vasárnap,2026-01-04,Pilates.,10:00-11:00,Kárpáti Ildikó HU/EN,allee
Kedd,2025-12-30,Stretching.,11:00-12:00,Kovács Laura,allee
Szerda,2025-12-31,KORCE mobility+stability,11:00-12:00,Dobos Fanny HU/EN,allee
Szombat,2026-01-03,Stretching.,11:00-12:00,Dobos Fanny HU/EN,allee
Vasárnap,2026-01-04,Funkcionális köredzés,11:00-12:00,Jónás Gergely,allee
Vasárnap,2026-01-04,KORCE mobility+stability,11:00-12:00,Dobos Fanny HU/EN,allee
Hétfő,2025-12-29,Alakformáló,12:00-13:00,Kovács Laura,allee
Kedd,2025-12-30,Alakformáló,12:00-13:00,Kovács Laura,allee
Szerda,2025-12-31,Alakformáló,12:00-13:00,Dobos Fanny HU/EN,allee
Kedd,2025-12-30,Alakformáló,16:00-17:00,Dobos Fanny HU/EN,allee
Vasárnap,2026-01-04,Funkcionális köredzés,16:30-17:30,Virág Vera,allee
Hétfő,2025-12-29,Alakformáló,17:00-18:00,Virág Vera,allee
Hétfő,2025-12-29,Cross Training,17:00-18:00,Kalamár Eszter,allee
Hétfő,2025-12-29,Gerinctorna+stretching.,17:30-18:30,Kovács Laura,allee
Kedd,2025-12-30,Hot Iron I,17:00-18:00,Dobos Fanny HU/EN,allee
Kedd,2025-12-30,Cross Training,17:15-18:15,Virág Vera,allee
Kedd,2025-12-30,Pilates.,17:30-18:30,Gerő Luca,allee
Péntek,2026-01-02,Alakformáló,17:00-18:00,Dobos Fanny HU/EN,allee
Péntek,2026-01-02,Runners' Gym,17:00-18:00,Serrano Gergő HU/EN,allee
Péntek,2026-01-02,Zumba,17:30-18:30,Jámbor Bea,allee
Szombat,2026-01-03,Pilates.,17:30-18:30,Reitter Zsófia,allee
Vasárnap,2026-01-04,Hot Iron I,17:00-18:00,Dobos Fanny HU/EN,allee
Hétfő,2025-12-29,Cardio Kick-box,18:00-19:00,Kalamár Eszter,allee
Hétfő,2025-12-29,TRX köredzés,18:15-19:15,Vujicsity Viktória,allee
Kedd,2025-12-30,Alakformáló,18:00-19:00,Dobos Fanny HU/EN,allee
Kedd,2025-12-30,Funkcionális köredzés,18:15-19:15,Virág Vera,allee
Kedd,2025-12-30,Gerinctorna.,18:30-19:30,Palkó Roberta HU/EN,allee
Péntek,2026-01-02,Funkcionális köredzés,18:00-19:00,Vujicsity Viktória,allee
Péntek,2026-01-02,Hot Iron I,18:00-19:00,Dobos Fanny HU/EN,allee
Vasárnap,2026-01-04,Alakformáló,18:00-19:00,Dobos Fanny HU/EN,allee
Hétfő,2025-12-29,Zsírégető,19:00-20:00,Kalamár Eszter,allee
Hétfő,2025-12-29,Funkcionális köredzés,19:15-20:15,Vujicsity Viktória,allee
Kedd,2025-12-30,Zsírégető,19:00-20:00,Auer Bernadett,allee
Kedd,2025-12-30,Dinamikus jóga,19:30-20:30,Erdős Réka ,allee
Péntek,2026-01-02,Kezdő dance step,19:00-20:00,Harnos Erika ,allee
Péntek,2026-01-02,Stretching.,19:00-20:00,Dobos Fanny HU/EN,allee
Péntek,2026-01-02,TRX köredzés,19:00-20:00,Vujicsity Viktória,allee
Hétfő,2025-12-29,Hot Iron I,20:00-21:00,Dobos Fanny HU/EN,allee
Kedd,2025-12-30,Gerinctorna,20:00-21:00,Auer Bernadett,allee
Kedd,2026-01-06,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Szerda,2026-01-07,Stretching,06:30-07:30,Dán Vanda,allee
Csütörtök,2026-01-08,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Kedd,2026-01-06,Pilates.,07:00-08:00,Oli Renáta,allee
Csütörtök,2026-01-08,Pilates.,07:00-08:00,Oli Renáta,allee
Szombat,2026-01-10,Alakformáló,09:00-10:00,Dobos Fanny HU/EN,allee
Szombat,2026-01-10,Funkcionális köredzés,09:00-10:00,Serrano Gergő HU/EN,allee
Hétfő,2026-01-05,Hot Iron I,10:00-11:00,Dobos Fanny HU/EN,allee
Szerda,2026-01-07,Hot Iron I,10:00-11:00,Dobos Fanny HU/EN,allee
Csütörtök,2026-01-08,Gerinctorna+stretching,10:00-11:00,Kovács Laura,allee
Péntek,2026-01-09,Hot Iron I,10:00-11:00,Dobos Fanny HU/EN,allee
Szombat,2026-01-10,Cross Training,10:00-11:00,Serrano Gergő HU/EN,allee
Szombat,2026-01-10,Hot Iron I,10:00-11:00,Dobos Fanny HU/EN,allee
Vasárnap,2026-01-11,Alakformáló,10:00-11:00,Dobos Fanny HU/EN,allee
Vasárnap,2026-01-11,Pilates.,10:00-11:00,Reitter Zsófia,allee
Hétfő,2026-01-05,Senior torna,11:00-12:00,Béres Réka,allee
Kedd,2026-01-06,Stretching.,11:00-12:00,Kovács Laura,allee
Szerda,2026-01-07,Gerinctorna,11:00-12:00,Dobos Fanny HU/EN,allee
Csütörtök,2026-01-08,Senior torna,11:00-12:00,Béres Réka,allee
Péntek,2026-01-09,Gerinctorna.,11:00-12:00,Kovács Laura,allee
