day,date,sport,time,edző,klub
Hétfő,2026-09-21,Funkcionális köredzés,06:30-07:30,Fóthi Saci HU/EN,allee
Szerda,2026-09-23,Stretching,06:30-07:30,Dán Vanda,allee
Csütörtök,2026-09-24,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Hétfő,2026-09-21,Alakformáló,07:30-08:30,Fóthi Saci HU/EN,allee
Kedd,2026-09-22,Gerinctorna,07:00-08:00,Virág Vera,allee
Péntek,2026-09-25,Dinamikus pilates,07:00-08:00,Szabó Csenge,allee
Szombat,2026-09-26,Alakformáló,09:00-10:00,Molnár Dani,allee
Szombat,2026-09-26,Funkcionális köredzés,09:00-10:00,Serrano Gergő HU/EN,allee
Hétfő,2026-09-21,Hot Iron I,10:00-11:00,Dobos Fanny HU/EN,allee
Szerda,2026-09-23,Hot Iron I,10:00-11:00,Dobos Fanny HU/EN,allee
Péntek,2026-09-25,Hot Iron I,10:00-11:00,Lebedi Zalán,allee
Szombat,2026-09-26,Cross Training,10:00-11:30,Serrano Gergő HU/EN,allee
Szombat,2026-09-26,Hot Iron I,10:00-11:00,Molnár Dani,allee
Vasárnap,2026-09-27,Alakformáló,10:00-11:00,Auer Bernadett,allee
Vasárnap,2026-09-27,Pilates.,10:00-11:00,Reitter Zsófia,allee
Hétfő,2026-09-21,Senior torna,11:00-12:00,Béres Réka,allee
Kedd,2026-09-22,Stretching.,11:00-12:00,Kovács Laura,allee
Szerda,2026-09-23,Gerinctorna,11:00-12:00,Dobos Fanny HU/EN,allee
Csütörtök,2026-09-24,Senior torna,11:00-12:00,Béres Réka,allee
Péntek,2026-09-25,Gerinctorna+stretching,11:00-12:00,Kovács Laura,allee
Szombat,2026-09-26,Stretching.,11:00-12:00,Kovács Laura,allee
Vasárnap,2026-09-27,Funkcionális köredzés,11:00-12:00,Jónás Gergely,allee
Hétfő,2026-09-21,Alakformáló,12:00-13:00,Béres Réka,allee
Hétfő,2026-09-21,Funkcionális köredzés,12:15-13:15,Kovács Laura,allee
Kedd,2026-09-22,Alakformáló,12:00-13:00,Kovács Laura,allee
Szerda,2026-09-23,Alakformáló,12:00-13:00,Dobos Fanny HU/EN,allee
Szerda,2026-09-23,Funkcionális köredzés,12:15-13:15,Kovács Laura,allee
Csütörtök,2026-09-24,Alakformáló,12:00-13:00,Béres Réka,allee
Kedd,2026-09-22,Alakformáló,16:00-17:00,Dobos Fanny HU/EN,allee
Kedd,2026-09-22,Zumba,16:30-17:30,Molnár Bogi,allee
Szerda,2026-09-23,Zsírégető,16:00-17:00,Sándor Zsanett HU/EN,allee
Csütörtök,2026-09-24,Alakformáló,16:00-17:00,Dobos Fanny HU/EN,allee
Csütörtök,2026-09-24,Zumba,16:30-17:30,Molnár Bogi,allee
Vasárnap,2026-09-27,Funkcionális köredzés,16:30-17:30,Virág Vera,allee
Hétfő,2026-09-21,Alakformáló,17:00-18:00,Nagy Vivien,allee
Hétfő,2026-09-21,Funkcionális köredzés,17:15-18:15,Virág Vera,allee
Hétfő,2026-09-21,Gerinctorna,17:30-18:30,Kárpáti Móni ,allee
Kedd,2026-09-22,Hot Iron I,17:00-18:00,Dobos Fanny HU/EN,allee
Kedd,2026-09-22,Cross Training,17:15-18:15,Virág Vera,allee
Kedd,2026-09-22,Pilates.,17:30-18:30,Kocsomba Nelli ,allee
Szerda,2026-09-23,Alakformáló,17:00-18:00,Sándor Zsanett HU/EN,allee
Szerda,2026-09-23,Funkcionális köredzés,17:15-18:15,Virág Vera,allee
Szerda,2026-09-23,Gerinctorna,17:30-18:30,Kárpáti Móni ,allee
Csütörtök,2026-09-24,Hot Iron I,17:00-18:00,Dobos Fanny HU/EN,allee
Csütörtök,2026-09-24,Cross Training,17:15-18:15,Szentgyörgyi Lilien,allee
Csütörtök,2026-09-24,Pilates.,17:30-18:30,Kocsomba Nelli ,allee
Péntek,2026-09-25,Alakformáló,17:00-18:00,Fóthi Saci HU/EN,allee
Péntek,2026-09-25,Zumba,17:30-18:30,Jámbor Bea,allee
