day,date,sport,time,edző,klub
Kedd,2026-02-03,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Szerda,2026-02-04,Stretching,06:30-07:30,Dán Vanda,allee
Csütörtök,2026-02-05,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Kedd,2026-02-03,Pilates.,07:00-08:00,Oli Renáta,allee
Csütörtök,2026-02-05,Pilates.,07:00-08:00,Oli Renáta,allee
Szombat,2026-02-07,Alakformáló,09:00-10:00,Dobos Fanny HU/EN,allee
Szombat,2026-02-07,Funkcionális köredzés,09:00-10:00,Fodor Gabriella,allee
Hétfő,2026-02-02,Hot Iron I,10:00-11:00,Dobos Fanny HU/EN,allee
Szerda,2026-02-04,Hot Iron I,10:00-11:00,Dobos Fanny HU/EN,allee
Csütörtök,2026-02-05,Gerinctorna+stretching,10:00-11:00,Kovács Laura,allee
Szombat,2026-02-07,Cross Training,10:00-11:00,Serrano Gergő HU/EN,allee
Szombat,2026-02-07,Hot Iron I,10:00-11:00,Dobos Fanny HU/EN,allee
Vasárnap,2026-02-08,Alakformáló,10:00-11:00,Dobos Fanny HU/EN,allee
Vasárnap,2026-02-08,Pilates.,10:00-11:00,Kárpáti Ildikó HU/EN,allee
Hétfő,2026-02-02,Senior torna,11:00-12:00,Béres Réka,allee
Kedd,2026-02-03,Stretching.,11:00-12:00,Kovács Laura,allee
Szerda,2026-02-04,Gerinctorna,11:00-12:00,Dobos Fanny HU/EN,allee
Csütörtök,2026-02-05,Senior torna,11:00-12:00,Béres Réka,allee
Péntek,2026-02-06,Gerinctorna.,11:00-12:00,Kovács Laura,allee
Szombat,2026-02-07,Stretching.,11:00-12:00,Dobos Fanny HU/EN,allee
Vasárnap,2026-02-08,Funkcionális köredzés,11:00-12:00,Jónás Gergely,allee
Vasárnap,2026-02-08,KORCE mobility+stability,11:00-12:00,Dobos Fanny HU/EN,allee
Hétfő,2026-02-02,Alakformáló,12:00-13:00,Béres Réka,allee
Kedd,2026-02-03,Alakformáló,12:00-13:00,Kovács Laura,allee
Szerda,2026-02-04,Alakformáló,12:00-13:00,Dobos Fanny HU/EN,allee
Csütörtök,2026-02-05,Alakformáló,12:00-13:00,Béres Réka,allee
Péntek,2026-02-06,Alakformáló,12:00-13:00,Kovács Laura,allee
Kedd,2026-02-03,Alakformáló,16:00-17:00,Dobos Fanny HU/EN,allee
Kedd,2026-02-03,Zumba,16:30-17:30,Oli Renáta,allee
Csütörtök,2026-02-05,Alakformáló,16:00-17:00,Dobos Fanny HU/EN,allee
Csütörtök,2026-02-05,Zumba,16:30-17:30,Oli Renáta,allee
Vasárnap,2026-02-08,Funkcionális köredzés,16:30-17:30,Virág Vera,allee
Hétfő,2026-02-02,Alakformáló,17:00-18:00,Nagy Vivien,allee
Hétfő,2026-02-02,Cross Training,17:00-18:00,Kalamár Eszter,allee
Hétfő,2026-02-02,Gerinctorna+stretching.,17:30-18:30,Paulovics Adrienn,allee
Kedd,2026-02-03,Hot Iron I,17:00-18:00,Dobos Fanny HU/EN,allee
Kedd,2026-02-03,Cross Training,17:15-18:15,Virág Vera,allee
Kedd,2026-02-03,Pilates.,17:30-18:30,Oli Renáta,allee
Szerda,2026-02-04,Alakformáló,17:00-18:00,Kalamár Eszter,allee
Szerda,2026-02-04,Funkcionális köredzés,17:15-18:15,Gerő Luca,allee
Szerda,2026-02-04,Gerinctorna+stretching.,17:30-18:30,Paulovics Adrienn,allee
Csütörtök,2026-02-05,Hot Iron I,17:00-18:00,Dobos Fanny HU/EN,allee
Csütörtök,2026-02-05,Cross Training,17:15-18:15,Virág Vera,allee
Csütörtök,2026-02-05,Pilates.,17:30-18:30,Oli Renáta,allee
Péntek,2026-02-06,Alakformáló,17:00-18:00,Dobos Fanny HU/EN,allee
Péntek,2026-02-06,Runners Gym,17:00-18:00,Serrano Gergő HU/EN,allee
Péntek,2026-02-06,Zumba,17:30-18:30,Jámbor Bea,allee
Szombat,2026-02-07,Pilates.,17:30-18:30,Reitter Zsófia,allee
Vasárnap,2026-02-08,Hot Iron I,17:00-18:00,Dobos Fanny HU/EN,allee
Hétfő,2026-02-02,Cardio Kick-box,18:00-19:00,Kalamár Eszter,allee
Hétfő,2026-02-02,TRX köredzés,18:15-19:15,Vujicsity Viktória,allee
Hétfő,2026-02-02,Yin  jóga,18:30-19:30,Kovács Rózsa ,allee
Kedd,2026-02-03,Alakformáló,18:00-19:00,Dobos Fanny HU/EN,allee
Kedd,2026-02-03,Funkcionális köredzés,18:15-19:15,Vujicsity Viktória,allee
Kedd,2026-02-03,Gerinctorna.,18:30-19:30,Böröcz Anita,allee
Szerda,2026-02-04,Cardio Kick-box,18:00-19:00,Kalamár Eszter,allee
Szerda,2026-02-04,TRX,18:15-19:15,Jónás Gergely,allee
Szerda,2026-02-04,Pilates.,18:30-19:30,Gerő Luca,allee
Csütörtök,2026-02-05,Alakformáló,18:00-19:00,Dobos Fanny HU/EN,allee
Csütörtök,2026-02-05,TRX köredzés,18:15-19:15,Kaszás Lilla,allee
Péntek,2026-02-06,Funkcionális köredzés,18:00-19:00,Vujicsity Viktória,allee
Péntek,2026-02-06,Hot Iron I,18:00-19:00,Dobos Fanny HU/EN,allee
Vasárnap,2026-02-08,Alakformáló,18:00-19:00,Dobos Fanny HU/EN,allee
Hétfő,2026-02-02,Zsírégető,19:00-20:00,Kalamár Eszter,allee
Hétfő,2026-02-02,Funkcionális köredzés,19:15-20:15,Vujicsity Viktória,allee
Hétfő,2026-02-02,Pilates.,19:30-20:30,Kovács Rózsa ,allee
Kedd,2026-02-03,Zsírégető,19:00-20:00,Auer Bernadett,allee
Kedd,2026-02-03,TRX köredzés,19:15-20:15,Vujicsity Viktória,allee
Kedd,2026-02-03,Dinamikus jóga,19:30-20:30,Erdős Réka ,allee
Szerda,2026-02-04,Zsírégető,19:00-20:00,Kalamár Eszter,allee
Szerda,2026-02-04,Cross Training,19:15-20:15,Szentgyörgyi Lilien,allee
Szerda,2026-02-04,Gerinctorna,19:30-20:30,Virág Vera,allee
Csütörtök,2026-02-05,Zsírégető,19:00-20:00,Auer Bernadett,allee
Csütörtök,2026-02-05,Funkcionális köredzés,19:15-20:15,Kaszás Lilla,allee
Csütörtök,2026-02-05,Dinamikus jóga,19:30-20:30,Erdős Réka ,allee
Péntek,2026-02-06,Kezdő dance step,19:00-20:00,Virág Vera,allee
Péntek,2026-02-06,Stretching.,19:00-20:00,Dobos Fanny HU/EN,allee
Péntek,2026-02-06,TRX köredzés,19:00-20:00,Vujicsity Viktória,allee
Hétfő,2026-02-02,Hot Iron I,20:00-21:00,Dobos Fanny HU/EN,allee
Kedd,2026-02-03,Gerinctorna+stretching,20:00-21:00,Auer Bernadett,allee
Szerda,2026-02-04,Hot Iron I,20:00-21:00,Dobos Fanny HU/EN,allee
Csütörtök,2026-02-05,Gerinctorna+stretching,20:00-21:00,Auer Bernadett,allee
Kedd,2026-02-10,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Szerda,2026-02-11,Stretching,06:30-07:30,Dán Vanda,allee
Csütörtök,2026-02-12,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Kedd,2026-02-10,Pilates.,07:00-08:00,Oli Renáta,allee
