day,date,sport,time,edző,klub
Hétfő,2025-04-28,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Szerda,2025-04-30,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Kedd,2025-04-29,Pilates,07:00-08:00,Oli Renáta,allee
Kedd,2025-04-29,Funkcionális köredzés,09:00-10:00,Kárpáti Ildikó,allee
Szombat,2025-05-03,Alakformáló,09:00-10:00,Dobos Fanny,allee
Szombat,2025-05-03,Funkcionális köredzés,09:00-10:00,Serrano Gergő,allee
Hétfő,2025-04-28,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Szerda,2025-04-30,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Péntek,2025-05-02,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Szombat,2025-05-03,Cross Training,10:00-11:00,Serrano Gergő,allee
Szombat,2025-05-03,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Vasárnap,2025-05-04,Alakformáló,10:00-11:00,Dobos Fanny,allee
Vasárnap,2025-05-04,Cross Training,10:00-11:00,Jónás Gergely,allee
Vasárnap,2025-05-04,Pilates,10:00-11:00,Reitter Zsófia,allee
Hétfő,2025-04-28,Senior torna,11:00-12:00,Béres Réka,allee
Kedd,2025-04-29,Stretching.,11:00-12:00,Kovács Laura,allee
Szerda,2025-04-30,gerinctorna,11:00-12:00,Dobos Fanny,allee
Csütörtök,2025-05-01,Stretching.,11:00-12:00,Kovács Laura,allee
Péntek,2025-05-02,Gerinctorna,11:00-12:00,Kovács Laura,allee
Szombat,2025-05-03,Stretching.,11:00-12:00,Dobos Fanny,allee
Vasárnap,2025-05-04,Funkcionális köredzés,11:00-12:00,Jónás Gergely,allee
Vasárnap,2025-05-04,Gerinctorna,11:00-12:00,Dobos Fanny,allee
Hétfő,2025-04-28,Alakformáló,12:00-13:00,Béres Réka,allee
Kedd,2025-04-29,Alakformáló,12:00-13:00,Kovács Laura,allee
Szerda,2025-04-30,Alakformáló,12:00-13:00,Dobos Fanny,allee
Péntek,2025-05-02,Alakformáló,12:00-13:00,Kovács Laura,allee
Kedd,2025-04-29,Alakformáló,16:00-17:00,Dobos Fanny,allee
Kedd,2025-04-29,Zumba,16:30-17:30,Oli Renáta,allee
Hétfő,2025-04-28,Alakformáló,17:00-18:00,Szalma Borka,allee
Hétfő,2025-04-28,Cross Training,17:00-18:00,Kalamár Eszter,allee
Hétfő,2025-04-28,Gerinctorna+stretching.,17:30-18:30,Heiszer Eszter,allee
Kedd,2025-04-29,Hot Iron I,17:00-18:00,Dobos Fanny,allee
Kedd,2025-04-29,Cross Training,17:15-18:15,Kovács Anikó,allee
Kedd,2025-04-29,Pilates.,17:30-18:30,Oli Renáta,allee
Szerda,2025-04-30,Alakformáló,17:00-18:00,Auer Bernadett,allee
Szerda,2025-04-30,Funkcionális köredzés,17:15-18:15,Gerő Luca,allee
Szerda,2025-04-30,Gerinctorna+stretching.,17:30-18:30,Heiszer Eszter,allee
Csütörtök,2025-05-01,Cross Training,17:15-18:15,Kovács Anikó,allee
Péntek,2025-05-02,Alakformáló,17:00-18:00,Dobos Fanny,allee
Péntek,2025-05-02,Zumba,17:30-18:30,Jámbor Bea,allee
Szombat,2025-05-03,Pilates,17:30-18:30,Reitter Zsófia,allee
Vasárnap,2025-05-04,Hot Iron I,17:00-18:00,Dobos Fanny,allee
Hétfő,2025-04-28,Cardio Kick-box,18:00-19:00,Kalamár Eszter,allee
Hétfő,2025-04-28,DEEPWORK ,18:15-19:15,Kocsomba Nelli ,allee
Hétfő,2025-04-28,Yin  jóga,18:30-19:30,Kovács Rózsa ,allee
Kedd,2025-04-29,Alakformáló,18:00-19:00,Dobos Fanny,allee
Kedd,2025-04-29,TRX köredzés,18:15-19:15,Kovács Anikó,allee
Kedd,2025-04-29,Gerinctorna,18:30-19:30,Palkó Roberta,allee
Szerda,2025-04-30,Cardio Kick-box,18:00-19:00,Kalamár Eszter,allee
Szerda,2025-04-30,DEEPWORK ,18:15-19:15,Erdélyi Annamari,allee
Szerda,2025-04-30,Pilates,18:30-19:30,Gerő Luca,allee
Csütörtök,2025-05-01,TRX köredzés,18:15-19:15,Kovács Anikó,allee
Péntek,2025-05-02,Funkcionális köredzés,18:00-19:00,Vujicsity Viktória,allee
Péntek,2025-05-02,Hot Iron I,18:00-19:00,Dobos Fanny,allee
Vasárnap,2025-05-04,Alakformáló,18:00-19:00,Dobos Fanny,allee
Hétfő,2025-04-28,Zsírégető,19:00-20:00,Kalamár Eszter,allee
Hétfő,2025-04-28,Funkcionális köredzés,19:15-20:15,Vujicsity Viktória,allee
Hétfő,2025-04-28,Pilates.,19:30-20:30,Kovács Rózsa ,allee
Kedd,2025-04-29,Zsírégető,19:00-20:00,Paulovics Adrienn,allee
Kedd,2025-04-29,Funkcionális köredzés,19:15-20:15,Vujicsity Viktória,allee
Kedd,2025-04-29,Dinamikus jóga,19:30-20:30,Erdős Réka ,allee
Szerda,2025-04-30,Zsírégető,19:00-20:00,Kalamár Eszter,allee
Szerda,2025-04-30,Cross Training,19:15-20:15,Sánta Stella,allee
Csütörtök,2025-05-01,Funkcionális köredzés,19:15-20:15,Sánta Stella,allee
Péntek,2025-05-02,Stretching,19:00-20:00,Dobos Fanny,allee
Hétfő,2025-04-28,Hot Iron I,20:00-21:00,Dobos Fanny,allee
Kedd,2025-04-29,Gerinctorna,20:00-21:00,Paulovics Adrienn,allee
Szerda,2025-04-30,Hot Iron I,20:00-21:00,Dobos Fanny,allee
Hétfő,2025-05-05,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Szerda,2025-05-07,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Péntek,2025-05-09,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Kedd,2025-05-06,Pilates,07:00-08:00,Oli Renáta,allee
Csütörtök,2025-05-08,Pilates,07:00-08:00,Oli Renáta,allee
Szombat,2025-05-10,Alakformáló,09:00-10:00,Dobos Fanny,allee
Szombat,2025-05-10,Funkcionális köredzés,09:00-10:00,Serrano Gergő,allee
Hétfő,2025-05-05,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Szerda,2025-05-07,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Péntek,2025-05-09,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Szombat,2025-05-10,Cross Training,10:00-11:00,Serrano Gergő,allee
Szombat,2025-05-10,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Vasárnap,2025-05-11,Alakformáló,10:00-11:00,Dobos Fanny,allee
Vasárnap,2025-05-11,Cross Training,10:00-11:00,Jónás Gergely,allee
Vasárnap,2025-05-11,Pilates,10:00-11:00,Reitter Zsófia,allee
Hétfő,2025-05-05,Senior torna,11:00-12:00,Béres Réka,allee
Kedd,2025-05-06,Stretching.,11:00-12:00,Kovács Laura,allee
Szerda,2025-05-07,gerinctorna,11:00-12:00,Dobos Fanny,allee
Csütörtök,2025-05-08,Senior torna,11:00-12:00,Béres Réka,allee
Csütörtök,2025-05-08,Stretching.,11:00-12:00,Kovács Laura,allee
Péntek,2025-05-09,Gerinctorna,11:00-12:00,Kovács Laura,allee
Szombat,2025-05-10,Stretching.,11:00-12:00,Dobos Fanny,allee
Vasárnap,2025-05-11,Funkcionális köredzés,11:00-12:00,Jónás Gergely,allee
Vasárnap,2025-05-11,Gerinctorna,11:00-12:00,Dobos Fanny,allee
Hétfő,2025-05-05,Alakformáló,12:00-13:00,Béres Réka,allee
Kedd,2025-05-06,Alakformáló,12:00-13:00,Kovács Laura,allee
Szerda,2025-05-07,Alakformáló,12:00-13:00,Dobos Fanny,allee
