day,date,sport,time,edző,klub
Hétfő,2025-06-23,Funkcionális köredzés,06:30-07:30,Auer Bernadett,allee
Szerda,2025-06-25,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Péntek,2025-06-27,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Kedd,2025-06-24,Pilates.,07:00-08:00,Oli Renáta,allee
Csütörtök,2025-06-26,Pilates.,07:00-08:00,Oli Renáta,allee
Szombat,2025-06-28,Funkcionális köredzés,09:00-10:00,Serrano Gergő HU/EN,allee
Hétfő,2025-06-23,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Szerda,2025-06-25,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Péntek,2025-06-27,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Szombat,2025-06-28,Cross Training,10:00-11:00,Serrano Gergő HU/EN,allee
Vasárnap,2025-06-29,Alakformáló,10:00-11:00,Dobos Fanny,allee
Vasárnap,2025-06-29,Cross Training,10:00-11:00,Jónás Gergely,allee
Vasárnap,2025-06-29,Pilates.,10:00-11:00,Kárpáti Ildikó HU/EN,allee
Hétfő,2025-06-23,Senior torna,11:00-12:00,Gyurkovics Anikó HU/EN,allee
Kedd,2025-06-24,Stretching.,11:00-12:00,Kovács Laura,allee
Szerda,2025-06-25,Gerinctorna,11:00-12:00,Dobos Fanny,allee
Csütörtök,2025-06-26,Stretching.,11:00-12:00,Kovács Laura,allee
Péntek,2025-06-27,Gerinctorna.,11:00-12:00,Kovács Laura,allee
Vasárnap,2025-06-29,Funkcionális köredzés,11:00-12:00,Jónás Gergely,allee
Vasárnap,2025-06-29,Gerinctorna,11:00-12:00,Dobos Fanny,allee
Hétfő,2025-06-23,Alakformáló,12:00-13:00,Gyurkovics Anikó HU/EN,allee
Kedd,2025-06-24,Alakformáló,12:00-13:00,Kovács Laura,allee
Szerda,2025-06-25,Alakformáló,12:00-13:00,Dobos Fanny,allee
Csütörtök,2025-06-26,Alakformáló,12:00-13:00,Gyurkovics Anikó HU/EN,allee
Péntek,2025-06-27,Alakformáló,12:00-13:00,Kovács Laura,allee
Kedd,2025-06-24,Alakformáló,16:00-17:00,Dobos Fanny,allee
Csütörtök,2025-06-26,Alakformáló,16:00-17:00,Dobos Fanny,allee
Csütörtök,2025-06-26,Zumba,16:30-17:30,Oli Renáta,allee
Hétfő,2025-06-23,Alakformáló,17:00-18:00,Szalma Borka,allee
Hétfő,2025-06-23,Cross Training,17:00-18:00,Kalamár Eszter,allee
Hétfő,2025-06-23,Gerinctorna+stretching.,17:30-18:30,Kovács Laura,allee
Kedd,2025-06-24,Hot Iron I,17:00-18:00,Dobos Fanny,allee
Kedd,2025-06-24,Cross Training,17:15-18:15,Kovács Anikó HU/EN,allee
Kedd,2025-06-24,Pilates.,17:30-18:30,Oli Renáta,allee
Szerda,2025-06-25,Alakformáló,17:00-18:00,Kalamár Eszter,allee
Szerda,2025-06-25,Funkcionális köredzés,17:15-18:15,Gerő Luca,allee
Szerda,2025-06-25,Gerinctorna+stretching.,17:30-18:30,Erdélyi Annamari,allee
Csütörtök,2025-06-26,Hot Iron I,17:00-18:00,Dobos Fanny,allee
Csütörtök,2025-06-26,Cross Training,17:15-18:15,Vujicsity Viktória,allee
Csütörtök,2025-06-26,Pilates.,17:30-18:30,Oli Renáta,allee
Péntek,2025-06-27,Alakformáló,17:00-18:00,Dobos Fanny,allee
Péntek,2025-06-27,Zumba,17:30-18:30,Jámbor Bea,allee
Szombat,2025-06-28,Pilates.,17:30-18:30,Reitter Zsófia,allee
Vasárnap,2025-06-29,Hot Iron I,17:00-18:00,Dobos Fanny,allee
Hétfő,2025-06-23,Cardio Kick-box,18:00-19:00,Kalamár Eszter,allee
Hétfő,2025-06-23,Yin  jóga,18:30-19:30,Kovács Rózsa ,allee
Kedd,2025-06-24,Alakformáló,18:00-19:00,Dobos Fanny,allee
Kedd,2025-06-24,TRX köredzés,18:15-19:15,Kovács Anikó HU/EN,allee
Kedd,2025-06-24,Gerinctorna.,18:30-19:30,Böröcz Anita,allee
Szerda,2025-06-25,Cardio Kick-box,18:00-19:00,Kalamár Eszter,allee
Szerda,2025-06-25,TRX,18:15-19:15,Jónás Gergely,allee
Szerda,2025-06-25,Pilates.,18:30-19:30,Gerő Luca,allee
Csütörtök,2025-06-26,Alakformáló,18:00-19:00,Dobos Fanny,allee
Csütörtök,2025-06-26,TRX köredzés,18:15-19:15,Vujicsity Viktória,allee
Csütörtök,2025-06-26,Gerinctorna.,18:30-19:30,Böröcz Anita,allee
Péntek,2025-06-27,Funkcionális köredzés,18:00-19:00,Vujicsity Viktória,allee
Péntek,2025-06-27,Hot Iron I,18:00-19:00,Dobos Fanny,allee
Vasárnap,2025-06-29,Alakformáló,18:00-19:00,Dobos Fanny,allee
Hétfő,2025-06-23,Zsírégető,19:00-20:00,Kalamár Eszter,allee
Hétfő,2025-06-23,Funkcionális köredzés,19:15-20:15,Sánta Stella HU/EN,allee
Hétfő,2025-06-23,Pilates.,19:30-20:30,Kovács Rózsa ,allee
Kedd,2025-06-24,Zsírégető,19:00-20:00,Paulovics Adrienn,allee
Kedd,2025-06-24,Funkcionális köredzés,19:15-20:15,Vujicsity Viktória,allee
Kedd,2025-06-24,Dinamikus jóga,19:30-20:30,Erdős Réka ,allee
Szerda,2025-06-25,Zsírégető,19:00-20:00,Kalamár Eszter,allee
Szerda,2025-06-25,Cross Training,19:15-20:15,Serrano Gergő HU/EN,allee
Csütörtök,2025-06-26,Zsírégető,19:00-20:00,Paulovics Adrienn,allee
Csütörtök,2025-06-26,Funkcionális köredzés,19:15-20:15,Sánta Stella HU/EN,allee
Csütörtök,2025-06-26,Stretching,19:30-20:30,Dobos Fanny,allee
Péntek,2025-06-27,DEEPWORK ,19:00-20:00,Reitter Zsófia,allee
Péntek,2025-06-27,Kezdő dance step,19:00-20:00,Harnos Erika ,allee
Péntek,2025-06-27,Stretching.,19:00-20:00,Dobos Fanny,allee
Hétfő,2025-06-23,Hot Iron I,20:00-21:00,Dobos Fanny,allee
Kedd,2025-06-24,Gerinctorna,20:00-21:00,Paulovics Adrienn,allee
Szerda,2025-06-25,Hot Iron I,20:00-21:00,Dobos Fanny,allee
Csütörtök,2025-06-26,Gerinctorna+stretching,20:00-21:00,Paulovics Adrienn,allee
Hétfő,2025-06-30,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Szerda,2025-07-02,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Péntek,2025-07-04,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Kedd,2025-07-01,Pilates.,07:00-08:00,Oli Renáta,allee
Csütörtök,2025-07-03,Pilates.,07:00-08:00,Oli Renáta,allee
Szombat,2025-07-05,Alakformáló,09:00-10:00,Dobos Fanny,allee
Szombat,2025-07-05,Funkcionális köredzés,09:00-10:00,Serrano Gergő HU/EN,allee
Hétfő,2025-06-30,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Szerda,2025-07-02,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Péntek,2025-07-04,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Szombat,2025-07-05,Cross Training,10:00-11:00,Serrano Gergő HU/EN,allee
Szombat,2025-07-05,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Vasárnap,2025-07-06,Alakformáló,10:00-11:00,Dobos Fanny,allee
Vasárnap,2025-07-06,Cross Training,10:00-11:00,Jónás Gergely,allee
Vasárnap,2025-07-06,Pilates.,10:00-11:00,Kárpáti Ildikó HU/EN,allee
Hétfő,2025-06-30,Senior torna,11:00-12:00,Gyurkovics Anikó HU/EN,allee
Kedd,2025-07-01,Stretching.,11:00-12:00,Kovács Laura,allee
Szerda,2025-07-02,Gerinctorna,11:00-12:00,Dobos Fanny,allee
Csütörtök,2025-07-03,Stretching.,11:00-12:00,Kovács Laura,allee
Péntek,2025-07-04,Gerinctorna.,11:00-12:00,Kovács Laura,allee
Szombat,2025-07-05,Stretching.,11:00-12:00,Dobos Fanny,allee
Vasárnap,2025-07-06,Funkcionális köredzés,11:00-12:00,Jónás Gergely,allee
Vasárnap,2025-07-06,Gerinctorna,11:00-12:00,Dobos Fanny,allee
Hétfő,2025-06-30,Alakformáló,12:00-13:00,Gyurkovics Anikó HU/EN,allee
Kedd,2025-07-01,Alakformáló,12:00-13:00,Kovács Laura,allee
Szerda,2025-07-02,Alakformáló,12:00-13:00,Dobos Fanny,allee
Csütörtök,2025-07-03,Alakformáló,12:00-13:00,Gyurkovics Anikó HU/EN,allee
Péntek,2025-07-04,Alakformáló,12:00-13:00,Kovács Laura,allee
Kedd,2025-07-01,Alakformáló,16:00-17:00,Dobos Fanny,allee
Kedd,2025-07-01,Zumba,16:30-17:30,Oli Renáta,allee
Csütörtök,2025-07-03,Alakformáló,16:00-17:00,Dobos Fanny,allee
Csütörtök,2025-07-03,Zumba,16:30-17:30,Oli Renáta,allee
Hétfő,2025-06-30,Alakformáló,17:00-18:00,Szalma Borka,allee
Hétfő,2025-06-30,Cross Training,17:00-18:00,Kalamár Eszter,allee
Hétfő,2025-06-30,Gerinctorna+stretching.,17:30-18:30,Heiszer Eszter,allee
Kedd,2025-07-01,Hot Iron I,17:00-18:00,Dobos Fanny,allee
Kedd,2025-07-01,Cross Training,17:15-18:15,Vujicsity Viktória,allee
Kedd,2025-07-01,Pilates.,17:30-18:30,Oli Renáta,allee
Szerda,2025-07-02,Alakformáló,17:00-18:00,Kalamár Eszter,allee
Szerda,2025-07-02,Funkcionális köredzés,17:15-18:15,Gerő Luca,allee
Szerda,2025-07-02,Gerinctorna+stretching.,17:30-18:30,Heiszer Eszter,allee
Csütörtök,2025-07-03,Hot Iron I,17:00-18:00,Dobos Fanny,allee
Csütörtök,2025-07-03,Cross Training,17:15-18:15,Kovács Anikó HU/EN,allee
Csütörtök,2025-07-03,Pilates.,17:30-18:30,Oli Renáta,allee
