day,date,sport,time,edző,klub
Hétfő,2025-07-07,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Szerda,2025-07-09,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Péntek,2025-07-11,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Kedd,2025-07-08,Pilates.,07:00-08:00,Oli Renáta,allee
Csütörtök,2025-07-10,Pilates.,07:00-08:00,Oli Renáta,allee
Szombat,2025-07-12,Alakformáló,09:00-10:00,Dobos Fanny,allee
Szombat,2025-07-12,Funkcionális köredzés,09:00-10:00,Serrano Gergő HU/EN,allee
Hétfő,2025-07-07,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Szerda,2025-07-09,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Péntek,2025-07-11,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Szombat,2025-07-12,Cross Training,10:00-11:00,Serrano Gergő HU/EN,allee
Szombat,2025-07-12,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Vasárnap,2025-07-13,Alakformáló,10:00-11:00,Dobos Fanny,allee
Vasárnap,2025-07-13,Cross Training,10:00-11:00,Jónás Gergely,allee
Vasárnap,2025-07-13,Pilates.,10:00-11:00,Kárpáti Ildikó HU/EN,allee
Hétfő,2025-07-07,Senior torna,11:00-12:00,Dobos Fanny,allee
Kedd,2025-07-08,Stretching.,11:00-12:00,Kovács Laura,allee
Szerda,2025-07-09,Gerinctorna,11:00-12:00,Dobos Fanny,allee
Csütörtök,2025-07-10,Stretching.,11:00-12:00,Kovács Laura,allee
Péntek,2025-07-11,Gerinctorna.,11:00-12:00,Kovács Laura,allee
Szombat,2025-07-12,Stretching.,11:00-12:00,Dobos Fanny,allee
Vasárnap,2025-07-13,Funkcionális köredzés,11:00-12:00,Jónás Gergely,allee
Vasárnap,2025-07-13,Gerinctorna,11:00-12:00,Dobos Fanny,allee
Hétfő,2025-07-07,Alakformáló,12:00-13:00,Kovács Laura,allee
Kedd,2025-07-08,Alakformáló,12:00-13:00,Kovács Laura,allee
Szerda,2025-07-09,Alakformáló,12:00-13:00,Dobos Fanny,allee
Csütörtök,2025-07-10,Alakformáló,12:00-13:00,Gyurkovics Anikó HU/EN,allee
Péntek,2025-07-11,Alakformáló,12:00-13:00,Kovács Laura,allee
Kedd,2025-07-08,Alakformáló,16:00-17:00,Dobos Fanny,allee
Csütörtök,2025-07-10,Alakformáló,16:00-17:00,Dobos Fanny,allee
Hétfő,2025-07-07,Alakformáló,17:00-18:00,Szalma Borka,allee
Hétfő,2025-07-07,Cross Training,17:00-18:00,Kalamár Eszter,allee
Hétfő,2025-07-07,Gerinctorna+stretching.,17:30-18:30,Kovács Laura,allee
Kedd,2025-07-08,Hot Iron I,17:00-18:00,Dobos Fanny,allee
Kedd,2025-07-08,Cross Training,17:15-18:15,Kovács Anikó HU/EN,allee
Kedd,2025-07-08,Pilates.,17:30-18:30,Oli Renáta,allee
Szerda,2025-07-09,Alakformáló,17:00-18:00,Kalamár Eszter,allee
Szerda,2025-07-09,Funkcionális köredzés,17:15-18:15,Gerő Luca,allee
Szerda,2025-07-09,Gerinctorna+stretching.,17:30-18:30,Erdélyi Annamari,allee
Csütörtök,2025-07-10,Hot Iron I,17:00-18:00,Dobos Fanny,allee
Csütörtök,2025-07-10,Cross Training,17:15-18:15,Kovács Anikó HU/EN,allee
Csütörtök,2025-07-10,Pilates.,17:30-18:30,Oli Renáta,allee
Péntek,2025-07-11,Alakformáló,17:00-18:00,Dobos Fanny,allee
Péntek,2025-07-11,Zumba,17:30-18:30,Jámbor Bea,allee
Szombat,2025-07-12,Pilates.,17:30-18:30,Kárpáti Ildikó HU/EN,allee
Vasárnap,2025-07-13,Hot Iron I,17:00-18:00,Dobos Fanny,allee
