day,date,sport,time,edző,klub
Hétfő,2025-01-13,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Szerda,2025-01-15,Funkcionális köredzés,06:30-07:30,Dán Vanda,allee
Hétfő,2025-01-13,Alakformáló,07:00-08:00,Szalma Borka,allee
Kedd,2025-01-14,Pilates,07:00-08:00,Kárpáti Ildikó,allee
Kedd,2025-01-14,Zsírégető,07:00-08:00,Borbély Beatrix,allee
Szerda,2025-01-15,Alakformáló,07:00-08:00,Szalma Borka,allee
Csütörtök,2025-01-16,Pilates,07:00-08:00,Kárpáti Ildikó,allee
Csütörtök,2025-01-16,Zsírégető,07:00-08:00,Borbély Beatrix,allee
Péntek,2025-01-17,Alakformáló,07:00-08:00,Szalma Borka,allee
Péntek,2025-01-17,Funkcionális köredzés,07:00-08:00,Csényi Fanni,allee
Kedd,2025-01-14,Funkcionális köredzés,09:00-10:00,Adamkó Szilvi,allee
Csütörtök,2025-01-16,Funkcionális köredzés,09:00-10:00,Adamkó Szilvi,allee
Szombat,2025-01-18,Alakformáló,09:00-10:00,Dobos Fanny,allee
Szombat,2025-01-18,Funkcionális köredzés,09:00-10:00,Serrano Gergő,allee
Vasárnap,2025-01-19,Gerinctorna+stretching,09:00-10:00,Reitter Zsófia,allee
Hétfő,2025-01-13,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Szerda,2025-01-15,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Péntek,2025-01-17,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Szombat,2025-01-18,Cross Training,10:00-11:00,Serrano Gergő,allee
Szombat,2025-01-18,Hot Iron I,10:00-11:00,Dobos Fanny,allee
Vasárnap,2025-01-19,Alakformáló,10:00-11:00,Dobos Fanny,allee
Vasárnap,2025-01-19,Cross Training,10:00-11:00,Jónás Gergely,allee
Vasárnap,2025-01-19,Pilates,10:00-11:00,Reitter Zsófia,allee
Hétfő,2025-01-13,Senior torna,11:00-12:00,Béres Réka,allee
Kedd,2025-01-14,Stretching.,11:00-12:00,Kovács Laura,allee
